time/s	I/mA	<Ewe/V>	
27/08/2025 10:10:17.1377	1,4341676E-001	-2,4099095E-002
27/08/2025 10:10:17.2377	6,0686987E-002	-2,3693206E-002
27/08/2025 10:10:17.3377	1,0523378E-001	-2,2828631E-002
27/08/2025 10:10:17.4377	9,8869957E-002	-2,2096343E-002
27/08/2025 10:10:17.5377	1,5614443E-001	-2,1410011E-002
27/08/2025 10:10:17.6377	1,0523378E-001	-2,0797594E-002
27/08/2025 10:10:17.7377	1,2432528E-001	-2,0223761E-002
27/08/2025 10:10:17.8377	1,3068911E-001	-1,9706462E-002
27/08/2025 10:10:17.9377	1,6250826E-001	-1,9245313E-002
27/08/2025 10:10:18.0377	1,2432528E-001	-1,8756893E-002
27/08/2025 10:10:18.1377	9,8869957E-002	-1,8333679E-002
27/08/2025 10:10:18.2377	7,9778478E-002	-1,7927961E-002
27/08/2025 10:10:18.3377	1,9432738E-001	-1,7519226E-002
27/08/2025 10:10:18.4377	1,7523590E-001	-1,7158315E-002
27/08/2025 10:10:18.5377	8,6142294E-002	-1,6808178E-002
27/08/2025 10:10:18.6377	6,7050815E-002	-1,6457619E-002
27/08/2025 10:10:18.7377	9,2506140E-002	-1,6145490E-002
27/08/2025 10:10:18.8377	1,1159762E-001	-1,5838174E-002
27/08/2025 10:10:18.9377	7,9778478E-002	-1,5528261E-002
27/08/2025 10:10:19.0377	1,4978060E-001	-1,5244819E-002
27/08/2025 10:10:19.1377	1,6887209E-001	-1,4966840E-002
27/08/2025 10:10:19.2377	1,4978060E-001	-1,4694286E-002
27/08/2025 10:10:19.3377	8,6142294E-002	-1,4437049E-002
27/08/2025 10:10:19.4377	1,6250826E-001	-1,4182144E-002
27/08/2025 10:10:19.5377	9,8869957E-002	-1,3943434E-002
27/08/2025 10:10:19.6377	1,1159762E-001	-1,3710837E-002
27/08/2025 10:10:19.7377	1,6887209E-001	-1,3492640E-002
27/08/2025 10:10:19.8377	1,5614443E-001	-1,3264244E-002
27/08/2025 10:10:19.9377	1,3068911E-001	-1,3052771E-002
27/08/2025 10:10:20.0377	9,8869957E-002	-1,2859099E-002
27/08/2025 10:10:20.1377	1,1796144E-001	-1,2651026E-002
27/08/2025 10:10:20.2377	1,2432528E-001	-1,2457582E-002
27/08/2025 10:10:20.3377	1,4341676E-001	-1,2279076E-002
27/08/2025 10:10:20.4377	1,3705294E-001	-1,2093693E-002
27/08/2025 10:10:20.5377	1,3068911E-001	-1,1916905E-002
27/08/2025 10:10:20.6377	1,6250826E-001	-1,1758988E-002
27/08/2025 10:10:20.7377	1,7523590E-001	-1,1580518E-002
27/08/2025 10:10:20.8377	1,3705294E-001	-1,1427796E-002
27/08/2025 10:10:20.9377	7,9778478E-002	-1,1276679E-002
27/08/2025 10:10:21.0377	7,9778478E-002	-1,1124912E-002
27/08/2025 10:10:21.1377	6,7050815E-002	-1,0985407E-002
