time/s	<I>/mA	Ewe/V	
27/08/2025 11:00:18.2421	1,248228186148849E+002	-2,0735073E-003
27/08/2025 11:00:19.2421	8,043135223541253E+001	-2,1308069E-003
27/08/2025 11:00:20.2421	5,487414539718628E+001	-2,1499067E-003
27/08/2025 11:00:21.2421	3,742429766615055E+001	-2,0544075E-003
27/08/2025 11:00:22.2421	2,821536524162286E+001	-2,1117069E-003
27/08/2025 11:00:23.2421	2,108843981933593E+001	-2,1117069E-003
27/08/2025 11:00:24.2421	1,616723998031615E+001	-2,1690065E-003
27/08/2025 11:00:25.2421	1,279364555931090E+001	-2,0735073E-003
27/08/2025 11:00:26.2421	1,051420597629547E+001	-2,0735073E-003
27/08/2025 11:00:27.2421	8,975690739822390E+000	-2,1881063E-003
27/08/2025 11:00:28.2421	7,943235246086118E+000	-2,0735073E-003
27/08/2025 11:00:29.2421	7,235223873901361E+000	-2,1117069E-003
27/08/2025 11:00:30.2421	6,784710252475719E+000	-2,0544075E-003
27/08/2025 11:00:31.2421	6,539907513046263E+000	-2,0544075E-003
27/08/2025 11:00:32.2421	6,439558011436462E+000	-2,1881063E-003
27/08/2025 11:00:33.2421	6,449292980289457E+000	-2,0353077E-003
27/08/2025 11:00:34.2421	6,535629887771591E+000	-2,1308069E-003
27/08/2025 11:00:35.2421	6,656451079845425E+000	-2,0926071E-003
27/08/2025 11:00:36.2421	6,792913509273525E+000	-2,0353077E-003
27/08/2025 11:00:37.2421	6,933971197795870E+000	-2,2072061E-003
27/08/2025 11:00:38.2421	7,069109622383110E+000	-2,0735073E-003
27/08/2025 11:00:39.2421	7,196188220787050E+000	-2,1117069E-003
27/08/2025 11:00:40.2421	7,304926621341707E+000	-2,0544075E-003
27/08/2025 11:00:41.2421	7,401592462348930E+000	-2,1117069E-003
27/08/2025 11:00:42.2421	7,486769483184816E+000	-2,1881063E-003
27/08/2025 11:00:43.2421	7,556292376899719E+000	-2,2072061E-003
27/08/2025 11:00:44.2421	7,607258448314667E+000	-2,1308069E-003
27/08/2025 11:00:45.2421	7,653855506134022E+000	-2,0735073E-003
27/08/2025 11:00:46.2421	7,691822931003571E+000	-2,0353077E-003
27/08/2025 11:00:47.2421	7,719893659877783E+000	-2,1117069E-003
27/08/2025 11:00:48.2421	7,743228336715696E+000	-2,1117069E-003
27/08/2025 11:00:49.2421	7,763249108028404E+000	-2,1499067E-003
27/08/2025 11:00:50.2421	7,771985427951812E+000	-2,2454057E-003
27/08/2025 11:00:51.2421	7,782370564937592E+000	-2,1308069E-003
27/08/2025 11:00:52.2421	7,785937138843508E+000	-2,0926071E-003
27/08/2025 11:00:53.2421	7,787613709735837E+000	-2,1308069E-003
27/08/2025 11:00:54.2421	7,788834218502046E+000	-2,0735073E-003
27/08/2025 11:00:55.2421	7,788935454368584E+000	-2,1117069E-003
27/08/2025 11:00:56.2421	7,785502563667279E+000	-2,0544075E-003
27/08/2025 11:00:57.2421	7,779729337596892E+000	-2,2454057E-003
27/08/2025 11:00:58.2421	7,773297423362727E+000	-2,1117069E-003
