time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
26/08/2025 22:00:02.1095	1,9999814E+005	3,0942431E-001	-1,0003540E-001
26/08/2025 22:00:02.5435	1,5885727E+005	3,2161933E-001	-7,5364128E-002
26/08/2025 22:00:02.9775	1,2618765E+005	3,2897294E-001	-5,8606889E-002
26/08/2025 22:00:03.2715	1,0022640E+005	3,3203509E-001	-4,5724057E-002
26/08/2025 22:00:04.9655	7,9609563E+004	3,3325231E-001	-3,5591692E-002
26/08/2025 22:00:06.6595	6,3233004E+004	3,3411708E-001	-2,8001118E-002
26/08/2025 22:00:07.9335	5,0224539E+004	3,3442461E-001	-2,2150822E-002
26/08/2025 22:00:08.6475	3,9897566E+004	3,3502609E-001	-1,6891094E-002
26/08/2025 22:00:09.2215	3,1686090E+004	3,3519974E-001	-1,2743161E-002
26/08/2025 22:00:09.6555	2,5172580E+004	3,3558792E-001	-9,5781963E-003
26/08/2025 22:00:10.0895	1,9995176E+004	3,3632272E-001	-6,7726481E-003
26/08/2025 22:00:10.5245	1,5884798E+004	3,3664721E-001	-4,5006718E-003
26/08/2025 22:00:10.9585	1,2618766E+004	3,3709830E-001	-2,9327031E-003
26/08/2025 22:00:11.3925	1,0020785E+004	3,3737674E-001	-1,5488482E-003
26/08/2025 22:00:11.8838	7,9597607E+003	3,3797345E-001	-5,7583925E-004
26/08/2025 22:00:12.2783	6,3238188E+003	3,3851773E-001	2,4669693E-004
26/08/2025 22:00:12.9707	5,0216069E+003	3,3884555E-001	9,9049276E-004
26/08/2025 22:00:13.4389	3,9861731E+003	3,3924875E-001	1,5031433E-003
26/08/2025 22:00:13.9060	3,1669595E+003	3,3985937E-001	1,8407287E-003
26/08/2025 22:00:14.3717	2,5158047E+003	3,4006074E-001	2,2137219E-003
26/08/2025 22:00:14.8399	1,9980818E+003	3,4066737E-001	2,7104684E-003
26/08/2025 22:00:15.3069	1,5884750E+003	3,4142002E-001	2,8117769E-003
26/08/2025 22:00:15.7727	1,2604036E+003	3,4187341E-001	3,2454843E-003
26/08/2025 22:00:16.2394	1,0016024E+003	3,4231329E-001	3,3913602E-003
26/08/2025 22:00:16.7077	7,9525409E+002	3,4264478E-001	3,6961641E-003
26/08/2025 22:00:17.1742	6,3181964E+002	3,4337327E-001	3,9965967E-003
26/08/2025 22:00:17.6409	5,0208865E+002	3,4405297E-001	4,2687193E-003
26/08/2025 22:00:18.3315	3,9859698E+002	3,4465989E-001	4,4138525E-003
26/08/2025 22:00:18.7967	3,1672299E+002	3,4514558E-001	4,5916541E-003
26/08/2025 22:00:19.2614	2,5169135E+002	3,4586972E-001	4,7752522E-003
26/08/2025 22:00:19.7299	1,9980818E+002	3,4679845E-001	5,1664282E-003
26/08/2025 22:00:20.1995	1,5862943E+002	3,4712565E-001	5,1981257E-003
26/08/2025 22:00:20.6641	1,2600809E+002	3,4796971E-001	5,5803144E-003
26/08/2025 22:00:21.1314	1,0016024E+002	3,4890503E-001	6,0191988E-003
26/08/2025 22:00:21.6020	7,9516548E+001	3,4974599E-001	6,3189077E-003
26/08/2025 22:00:22.0816	6,3160763E+001	3,5071796E-001	6,4312019E-003
26/08/2025 22:00:22.5489	5,0208866E+001	3,5172752E-001	6,9012456E-003
26/08/2025 22:00:23.0165	3,9859695E+001	3,5264683E-001	7,1704285E-003
26/08/2025 22:00:23.4622	3,1672298E+001	3,5370556E-001	7,6284599E-003
26/08/2025 22:00:23.9277	2,5136747E+001	3,5484043E-001	8,0141341E-003
26/08/2025 22:00:24.3959	1,9980818E+001	3,5595682E-001	8,4702251E-003
26/08/2025 22:00:24.8399	1,5857577E+001	3,5704905E-001	9,0363212E-003
26/08/2025 22:00:25.3868	1,2600809E+001	3,5823378E-001	9,4414055E-003
26/08/2025 22:00:25.8524	1,0016025E+001	3,5952592E-001	9,9208457E-003
26/08/2025 22:00:26.4272	7,9557004E+000	3,6102775E-001	1,0556202E-002
26/08/2025 22:00:26.8072	6,3105812E+000	3,6221936E-001	1,1322317E-002
26/08/2025 22:00:27.2762	5,0144420E+000	3,6373934E-001	1,1878551E-002
26/08/2025 22:00:27.8497	3,9859698E+000	3,6551368E-001	1,2952602E-002
26/08/2025 22:00:28.5577	3,1655185E+000	3,6692029E-001	1,3893789E-002
26/08/2025 22:00:29.4357	2,5136747E+000	3,6891875E-001	1,4608630E-002
26/08/2025 22:00:30.5287	1,9970603E+000	3,7066180E-001	1,5796620E-002
26/08/2025 22:00:32.5760	1,5846856E+000	3,7249318E-001	1,7451199E-002
26/08/2025 22:00:34.2831	1,2596742E+000	3,7438288E-001	1,8916061E-002
26/08/2025 22:00:36.4222	1,0000639E+000	3,7666589E-001	2,1172998E-002
26/08/2025 22:00:39.1031	7,9443753E-001	3,7837735E-001	2,3868350E-002
26/08/2025 22:00:42.4688	6,3126212E-001	3,8112447E-001	2,6957855E-002
26/08/2025 22:00:46.6981	5,0118679E-001	3,8399288E-001	3,0153882E-002
