time/s	I/mA	<Ewe/V>	
26/08/2025 19:28:04.2730	9,8867435E-003	-4,0240171E-003
26/08/2025 19:28:04.3730	1,1795843E-002	-4,0240190E-003
26/08/2025 19:28:04.4730	9,8867435E-003	-4,0274952E-003
26/08/2025 19:28:04.5730	7,9776440E-003	-4,0240572E-003
26/08/2025 19:28:04.6730	5,4321769E-003	-4,0190914E-003
26/08/2025 19:28:04.7730	1,2432210E-002	-4,0244777E-003
26/08/2025 19:28:04.8730	9,8867435E-003	-4,0230257E-003
26/08/2025 19:28:04.9730	9,2503773E-003	-4,0184422E-003
26/08/2025 19:28:05.0730	1,3068578E-002	-4,0259673E-003
26/08/2025 19:28:05.1730	1,1159477E-002	-4,0216888E-003
26/08/2025 19:28:05.2730	7,3412773E-003	-4,0193209E-003
26/08/2025 19:28:05.3730	5,4321769E-003	-4,0246304E-003
26/08/2025 19:28:05.4730	8,6140092E-003	-4,0202374E-003
26/08/2025 19:28:05.5730	9,8867435E-003	-4,0200464E-003
26/08/2025 19:28:05.6730	7,9776440E-003	-4,0225293E-003
26/08/2025 19:28:05.7730	7,3412773E-003	-4,0159975E-003
26/08/2025 19:28:05.8730	5,4321769E-003	-4,0184804E-003
26/08/2025 19:28:05.9730	5,4321769E-003	-4,0274193E-003
26/08/2025 19:28:06.0730	3,5230771E-003	-4,0185186E-003
26/08/2025 19:28:06.1730	7,9776440E-003	-4,0156916E-003
26/08/2025 19:28:06.2730	7,3412773E-003	-4,0242104E-003
26/08/2025 19:28:06.3730	6,0685435E-003	-4,0148897E-003
26/08/2025 19:28:06.4730	7,9776440E-003	-4,0194737E-003
26/08/2025 19:28:06.5730	7,9776440E-003	-4,0205428E-003
26/08/2025 19:28:06.6730	7,3412773E-003	-4,0222621E-003
26/08/2025 19:28:06.7730	4,7958097E-003	-4,0248218E-003
26/08/2025 19:28:06.8730	7,3412773E-003	-4,0229498E-003
26/08/2025 19:28:06.9730	5,4321769E-003	-4,0173344E-003
26/08/2025 19:28:07.0730	1,1159477E-002	-4,0235990E-003
26/08/2025 19:28:07.1730	1,1795843E-002	-4,0263496E-003
26/08/2025 19:28:07.2730	7,9776440E-003	-4,0198173E-003
26/08/2025 19:28:07.3730	1,1159477E-002	-4,0130946E-003
26/08/2025 19:28:07.4730	7,9776440E-003	-4,0292526E-003
26/08/2025 19:28:07.5730	4,1594426E-003	-4,0192441E-003
26/08/2025 19:28:07.6730	8,6140092E-003	-4,0268460E-003
26/08/2025 19:28:07.7730	9,8867435E-003	-4,0265787E-003
26/08/2025 19:28:07.8730	5,4321769E-003	-4,0186713E-003
26/08/2025 19:28:07.9730	1,4977678E-002	-4,0232553E-003
26/08/2025 19:28:08.0730	7,3412773E-003	-4,0288707E-003
26/08/2025 19:28:08.1730	1,1159477E-002	-4,0229498E-003
26/08/2025 19:28:08.2730	9,2503773E-003	-4,0185563E-003
26/08/2025 19:28:08.3730	9,8867435E-003	-4,0268847E-003
26/08/2025 19:28:08.4730	7,9776440E-003	-4,0245540E-003
26/08/2025 19:28:08.5730	1,0523110E-002	-4,0271515E-003
26/08/2025 19:28:08.6730	5,4321769E-003	-4,0279538E-003
26/08/2025 19:28:08.7730	9,8867435E-003	-4,0201228E-003
26/08/2025 19:28:08.8730	7,9776440E-003	-4,0261582E-003
26/08/2025 19:28:08.9730	1,1159477E-002	-4,0263496E-003
26/08/2025 19:28:09.0730	1,0523110E-002	-4,0205428E-003
26/08/2025 19:28:09.1730	1,7523142E-002	-4,0192059E-003
26/08/2025 19:28:09.2730	9,2503773E-003	-4,0300167E-003
26/08/2025 19:28:09.3730	8,6140092E-003	-4,0211924E-003
26/08/2025 19:28:09.4730	1,4341311E-002	-4,0275333E-003
26/08/2025 19:28:09.5730	1,0523110E-002	-4,0248600E-003
26/08/2025 19:28:09.6730	1,1795843E-002	-4,0270369E-003
26/08/2025 19:28:09.7730	7,3412773E-003	-4,0257764E-003
26/08/2025 19:28:09.8730	7,9776440E-003	-4,0299399E-003
26/08/2025 19:28:09.9730	6,0685435E-003	-4,0234467E-003
26/08/2025 19:28:10.0730	7,3412773E-003	-4,0266933E-003
26/08/2025 19:28:10.1730	1,2432210E-002	-4,0341807E-003
26/08/2025 19:28:10.2730	7,9776440E-003	-4,0208488E-003
26/08/2025 19:28:10.3730	7,9776440E-003	-4,0263496E-003
26/08/2025 19:28:10.4730	6,7049102E-003	-4,0276865E-003
26/08/2025 19:28:10.5730	8,6140092E-003	-4,0259296E-003
26/08/2025 19:28:10.6730	9,2503773E-003	-4,0234467E-003
26/08/2025 19:28:10.7730	6,7049102E-003	-4,0255091E-003
26/08/2025 19:28:10.8730	1,3068578E-002	-4,0215361E-003
26/08/2025 19:28:10.9730	1,4341311E-002	-4,0262733E-003
26/08/2025 19:28:11.0730	3,5230771E-003	-4,0243249E-003
26/08/2025 19:28:11.1730	8,6140092E-003	-4,0219184E-003
26/08/2025 19:28:11.2730	8,6140092E-003	-4,0329960E-003
26/08/2025 19:28:11.3730	1,1159477E-002	-4,0318882E-003
26/08/2025 19:28:11.4730	2,8867100E-003	-4,0183277E-003
26/08/2025 19:28:11.5730	2,8867100E-003	-4,0302076E-003
