time/s	<I>/mA	Ewe/V	
26/08/2025 20:46:45.3859	3,965751215263062E+002	-2,1690065E-003
26/08/2025 20:46:46.3859	3,068748392150874E+002	-2,1881063E-003
26/08/2025 20:46:47.3859	2,617585468414304E+002	-2,1881063E-003
26/08/2025 20:46:48.3859	2,323981972503661E+002	-2,1690065E-003
26/08/2025 20:46:49.3859	2,107352210388181E+002	-2,1881063E-003
26/08/2025 20:46:50.3859	1,932273448913570E+002	-2,0735073E-003
26/08/2025 20:46:51.3859	1,787924819305420E+002	-2,1690065E-003
26/08/2025 20:46:52.3859	1,666342520935054E+002	-2,0353077E-003
26/08/2025 20:46:53.3859	1,560805794952391E+002	-2,0926071E-003
26/08/2025 20:46:54.3859	1,466191097076416E+002	-2,0735073E-003
26/08/2025 20:46:55.3859	1,381902372283930E+002	-2,0353077E-003
26/08/2025 20:46:56.3859	1,305757197250364E+002	-2,1117069E-003
26/08/2025 20:46:57.3859	1,237411585891723E+002	-2,1117069E-003
26/08/2025 20:46:58.3859	1,173290909805298E+002	-2,0544075E-003
26/08/2025 20:46:59.3859	1,114552717422484E+002	-2,1308069E-003
26/08/2025 20:47:00.3859	1,061227612792964E+002	-2,2454057E-003
26/08/2025 20:47:01.3859	1,011840579910278E+002	-2,1690065E-003
26/08/2025 20:47:02.3859	9,647946022796634E+001	-2,1690065E-003
26/08/2025 20:47:03.3859	9,216292640075682E+001	-2,1690065E-003
26/08/2025 20:47:04.3859	8,815562454681395E+001	-2,1308069E-003
26/08/2025 20:47:05.3859	8,445043148040770E+001	-2,1117069E-003
26/08/2025 20:47:06.3859	8,085052225341792E+001	-2,1308069E-003
26/08/2025 20:47:07.3859	7,746400946044923E+001	-2,2836053E-003
26/08/2025 20:47:08.3859	7,442780814056391E+001	-2,0353077E-003
26/08/2025 20:47:09.3859	7,149037678070067E+001	-2,0353077E-003
26/08/2025 20:47:10.3859	6,863191049652096E+001	-2,2263059E-003
26/08/2025 20:47:11.3859	6,597476107330323E+001	-2,1690065E-003
26/08/2025 20:47:12.3859	6,348486970825195E+001	-2,0544075E-003
26/08/2025 20:47:13.3859	6,114329733276350E+001	-2,0353077E-003
26/08/2025 20:47:14.3859	5,886377175064081E+001	-2,1690065E-003
26/08/2025 20:47:15.3859	5,667205731811509E+001	-2,0735073E-003
26/08/2025 20:47:16.3859	5,468293524475087E+001	-2,2072061E-003
26/08/2025 20:47:17.3859	5,271709147567742E+001	-2,0735073E-003
26/08/2025 20:47:18.3859	5,081472892074578E+001	-2,1881063E-003
26/08/2025 20:47:19.3859	4,908217226104736E+001	-1,9971081E-003
26/08/2025 20:47:20.3859	4,743994643173210E+001	-2,1117069E-003
26/08/2025 20:47:21.3859	4,580868859939574E+001	-2,1690065E-003
26/08/2025 20:47:22.3859	4,359533137313110E+001	-2,1881063E-003
26/08/2025 20:47:23.3859	4,222559030838011E+001	-2,0162079E-003
26/08/2025 20:47:24.3859	4,090419518280021E+001	-2,1308069E-003
26/08/2025 20:47:25.3859	3,955124511795043E+001	-2,0926071E-003
26/08/2025 20:47:26.3859	3,824294011611926E+001	-2,1308069E-003
26/08/2025 20:47:27.3859	3,702626808319091E+001	-2,0544075E-003
