time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
26/08/2025 22:40:07.1445	1,9999814E+005	3,0607265E-001	-9,8948248E-002
26/08/2025 22:40:07.5785	1,5885727E+005	3,1891754E-001	-7,5083032E-002
26/08/2025 22:40:08.0135	1,2618765E+005	3,2640973E-001	-5,8963463E-002
26/08/2025 22:40:08.3075	1,0022640E+005	3,2970163E-001	-4,5573007E-002
26/08/2025 22:40:10.0015	7,9609563E+004	3,3113483E-001	-3,5706148E-002
26/08/2025 22:40:11.6955	6,3233004E+004	3,3185714E-001	-2,8021974E-002
26/08/2025 22:40:12.9705	5,0224539E+004	3,3227593E-001	-2,2172576E-002
26/08/2025 22:40:13.6845	3,9897566E+004	3,3273947E-001	-1,7000049E-002
26/08/2025 22:40:14.2585	3,1686090E+004	3,3300611E-001	-1,2934172E-002
26/08/2025 22:40:14.6925	2,5172580E+004	3,3350259E-001	-9,5712198E-003
26/08/2025 22:40:15.1265	1,9995176E+004	3,3380055E-001	-6,5672267E-003
26/08/2025 22:40:15.5605	1,5884798E+004	3,3417681E-001	-4,5628822E-003
26/08/2025 22:40:15.9945	1,2618766E+004	3,3484095E-001	-2,9663467E-003
26/08/2025 22:40:16.4285	1,0020785E+004	3,3517131E-001	-1,5928544E-003
26/08/2025 22:40:16.9197	7,9597607E+003	3,3554196E-001	-6,2048633E-004
26/08/2025 22:40:17.3143	6,3238188E+003	3,3622548E-001	1,1175015E-004
26/08/2025 22:40:18.0057	5,0216069E+003	3,3653775E-001	1,0464274E-003
26/08/2025 22:40:18.4749	3,9861731E+003	3,3713561E-001	1,5323634E-003
26/08/2025 22:40:18.9420	3,1669595E+003	3,3736199E-001	1,8246187E-003
26/08/2025 22:40:19.4077	2,5158047E+003	3,3778727E-001	2,2735104E-003
26/08/2025 22:40:19.8759	1,9980818E+003	3,3824632E-001	2,6131941E-003
26/08/2025 22:40:20.3429	1,5884750E+003	3,3881679E-001	2,7985377E-003
26/08/2025 22:40:20.8087	1,2604036E+003	3,3928725E-001	3,1218717E-003
26/08/2025 22:40:21.2755	1,0016024E+003	3,3983168E-001	3,2879780E-003
26/08/2025 22:40:21.7427	7,9525409E+002	3,4042478E-001	3,4554352E-003
26/08/2025 22:40:22.2092	6,3181964E+002	3,4111643E-001	3,7718492E-003
26/08/2025 22:40:22.6759	5,0208865E+002	3,4164333E-001	4,0724259E-003
26/08/2025 22:40:23.1435	3,9859698E+002	3,4206912E-001	4,2457813E-003
26/08/2025 22:40:23.6087	3,1672299E+002	3,4263453E-001	4,5511397E-003
26/08/2025 22:40:24.0734	2,5169135E+002	3,4328902E-001	4,6835053E-003
26/08/2025 22:40:24.5420	1,9980818E+002	3,4422311E-001	4,9681775E-003
26/08/2025 22:40:25.0115	1,5862943E+002	3,4481847E-001	5,4299799E-003
26/08/2025 22:40:25.4762	1,2600809E+002	3,4563234E-001	5,6951968E-003
26/08/2025 22:40:25.9435	1,0016024E+002	3,4643710E-001	5,7596089E-003
26/08/2025 22:40:26.4140	7,9516548E+001	3,4724361E-001	6,2006167E-003
26/08/2025 22:40:26.8926	6,3160763E+001	3,4823996E-001	6,4497981E-003
26/08/2025 22:40:27.3589	5,0208866E+001	3,4907547E-001	6,8289046E-003
26/08/2025 22:40:27.8285	3,9859695E+001	3,5020915E-001	7,1861995E-003
26/08/2025 22:40:28.2742	3,1672298E+001	3,5082272E-001	7,5019966E-003
26/08/2025 22:40:28.7397	2,5136747E+001	3,5225010E-001	8,0043282E-003
26/08/2025 22:40:29.2080	1,9980818E+001	3,5338357E-001	8,2460018E-003
26/08/2025 22:40:29.6519	1,5857577E+001	3,5448301E-001	8,7729078E-003
26/08/2025 22:40:30.1989	1,2600809E+001	3,5593390E-001	9,3004378E-003
26/08/2025 22:40:30.6644	1,0016025E+001	3,5696465E-001	9,7271260E-003
26/08/2025 22:40:31.5112	7,9557004E+000	3,5861409E-001	1,0127862E-002
26/08/2025 22:40:31.8912	6,3105812E+000	3,5983172E-001	1,0836438E-002
26/08/2025 22:40:32.3602	5,0144420E+000	3,6135209E-001	1,1441695E-002
26/08/2025 22:40:32.9337	3,9859698E+000	3,6300877E-001	1,1592136E-002
26/08/2025 22:40:33.6417	3,1655185E+000	3,6450177E-001	1,2898878E-002
26/08/2025 22:40:34.5197	2,5136747E+000	3,6548737E-001	1,3356308E-002
