time/s	I/mA	<Ewe/V>	
27/08/2025 00:03:51.2020	1,6250411E-002	-4,1611660E-003
27/08/2025 00:03:51.3020	6,7049102E-003	-4,1572601E-003
27/08/2025 00:03:51.4020	9,2503773E-003	-4,1606212E-003
27/08/2025 00:03:51.5020	9,8867435E-003	-4,1490849E-003
27/08/2025 00:03:51.6020	1,4341311E-002	-4,1532489E-003
27/08/2025 00:03:51.7020	1,2432210E-002	-4,1616908E-003
27/08/2025 00:03:51.8020	1,6886778E-002	-4,1528670E-003
27/08/2025 00:03:51.9020	7,3412773E-003	-4,1546240E-003
27/08/2025 00:03:52.0020	6,7049102E-003	-4,1576801E-003
27/08/2025 00:03:52.1020	6,7049102E-003	-4,1495813E-003
27/08/2025 00:03:52.2020	1,1795843E-002	-4,1590934E-003
27/08/2025 00:03:52.3020	1,6886778E-002	-4,1524079E-003
27/08/2025 00:03:52.4020	6,7049102E-003	-4,1533252E-003
27/08/2025 00:03:52.5020	7,3412773E-003	-4,1512242E-003
27/08/2025 00:03:52.6020	9,2503773E-003	-4,1572601E-003
27/08/2025 00:03:52.7020	7,3412773E-003	-4,1521410E-003
27/08/2025 00:03:52.8020	9,8867435E-003	-4,1502691E-003
27/08/2025 00:03:52.9020	1,1159477E-002	-4,1582147E-003
27/08/2025 00:03:53.0020	1,3704944E-002	-4,1531725E-003
27/08/2025 00:03:53.1020	1,5614044E-002	-4,1529811E-003
27/08/2025 00:03:53.2020	9,2503773E-003	-4,1548535E-003
27/08/2025 00:03:53.3020	9,8867435E-003	-4,1574505E-003
27/08/2025 00:03:53.4020	1,4977678E-002	-4,1565336E-003
27/08/2025 00:03:53.5020	1,2432210E-002	-4,1584056E-003
27/08/2025 00:03:53.6020	9,7761012E-004	-4,1593607E-003
27/08/2025 00:03:53.7020	1,0523110E-002	-4,1567250E-003
27/08/2025 00:03:53.8020	1,5614044E-002	-4,1598571E-003
27/08/2025 00:03:53.9020	6,7049102E-003	-4,1540507E-003
27/08/2025 00:03:54.0020	1,0523110E-002	-4,1580619E-003
27/08/2025 00:03:54.1020	1,1795843E-002	-4,1600484E-003
27/08/2025 00:03:54.2020	6,0685435E-003	-4,1547003E-003
27/08/2025 00:03:54.3020	1,6250411E-002	-4,1514914E-003
27/08/2025 00:03:54.4020	3,5230771E-003	-4,1581765E-003
27/08/2025 00:03:54.5020	1,3704944E-002	-4,1498109E-003
27/08/2025 00:03:54.6020	7,3412773E-003	-4,1531725E-003
27/08/2025 00:03:54.7020	6,7049102E-003	-4,1624932E-003
27/08/2025 00:03:54.8020	8,6140092E-003	-4,1529811E-003
27/08/2025 00:03:54.9020	1,0523110E-002	-4,1528670E-003
27/08/2025 00:03:55.0020	1,3704944E-002	-4,1634478E-003
27/08/2025 00:03:55.1020	1,6250411E-002	-4,1511096E-003
27/08/2025 00:03:55.2020	1,0523110E-002	-4,1529429E-003
27/08/2025 00:03:55.3020	1,2432210E-002	-4,1607362E-003
27/08/2025 00:03:55.4020	9,8867435E-003	-4,1573741E-003
27/08/2025 00:03:55.5020	9,8867435E-003	-4,1563809E-003
27/08/2025 00:03:55.6020	1,3068578E-002	-4,1610030E-003
27/08/2025 00:03:55.7020	7,9776440E-003	-4,1483976E-003
27/08/2025 00:03:55.8020	1,4977678E-002	-4,1533252E-003
27/08/2025 00:03:55.9020	1,5614044E-002	-4,1585965E-003
27/08/2025 00:03:56.0020	1,4341311E-002	-4,1519115E-003
27/08/2025 00:03:56.1020	1,2432210E-002	-4,1528288E-003
27/08/2025 00:03:56.2020	1,3704944E-002	-4,1628750E-003
27/08/2025 00:03:56.3020	1,2432210E-002	-4,1524847E-003
27/08/2025 00:03:56.4020	4,1594426E-003	-4,1598189E-003
27/08/2025 00:03:56.5020	1,1159477E-002	-4,1552735E-003
27/08/2025 00:03:56.6020	6,7049102E-003	-4,1521029E-003
27/08/2025 00:03:56.7020	4,7958097E-003	-4,1579087E-003
27/08/2025 00:03:56.8020	7,9776440E-003	-4,1614235E-003
27/08/2025 00:03:56.9020	1,2432210E-002	-4,1493140E-003
27/08/2025 00:03:57.0020	7,3412773E-003	-4,1592079E-003
27/08/2025 00:03:57.1020	1,1795843E-002	-4,1660457E-003
27/08/2025 00:03:57.2020	9,8867435E-003	-4,1582910E-003
27/08/2025 00:03:57.3020	9,8867435E-003	-4,1569541E-003
27/08/2025 00:03:57.4020	1,0523110E-002	-4,1571450E-003
27/08/2025 00:03:57.5020	7,9776440E-003	-4,1605830E-003
27/08/2025 00:03:57.6020	1,4977678E-002	-4,1588638E-003
27/08/2025 00:03:57.7020	4,1594426E-003	-4,1636392E-003
27/08/2025 00:03:57.8020	9,2503773E-003	-4,1592461E-003
27/08/2025 00:03:57.9020	5,4321769E-003	-4,1594370E-003
27/08/2025 00:03:58.0020	1,3068578E-002	-4,1627600E-003
27/08/2025 00:03:58.1020	8,6140092E-003	-4,1613467E-003
27/08/2025 00:03:58.2020	9,8867435E-003	-4,1599334E-003
27/08/2025 00:03:58.3020	1,1159477E-002	-4,1593220E-003
27/08/2025 00:03:58.4020	1,4341311E-002	-4,1582529E-003
27/08/2025 00:03:58.5020	9,2503773E-003	-4,1622259E-003
27/08/2025 00:03:58.6020	9,2503773E-003	-4,1561136E-003
27/08/2025 00:03:58.7020	9,8867435E-003	-4,1547385E-003
27/08/2025 00:03:58.8020	7,9776440E-003	-4,1675735E-003
27/08/2025 00:03:58.9020	1,4977678E-002	-4,1634864E-003
27/08/2025 00:03:59.0020	1,1795843E-002	-4,1570305E-003
27/08/2025 00:03:59.1020	1,3704944E-002	-4,1616145E-003
27/08/2025 00:03:59.2020	4,7958097E-003	-4,1625695E-003
27/08/2025 00:03:59.3020	1,1159477E-002	-4,1595898E-003
27/08/2025 00:03:59.4020	7,9776440E-003	-4,1699419E-003
27/08/2025 00:03:59.5020	1,3068578E-002	-4,1618817E-003
27/08/2025 00:03:59.6020	7,9776440E-003	-4,1595898E-003
27/08/2025 00:03:59.7020	1,0523110E-002	-4,1645174E-003
27/08/2025 00:03:59.8020	1,5614044E-002	-4,1597812E-003
27/08/2025 00:03:59.9020	1,2432210E-002	-4,1579469E-003
27/08/2025 00:04:00.0020	9,8867435E-003	-4,1634096E-003
27/08/2025 00:04:00.1020	1,1795843E-002	-4,1624932E-003
27/08/2025 00:04:00.2020	1,3704944E-002	-4,1630659E-003
27/08/2025 00:04:00.3020	7,9776440E-003	-4,1666189E-003
27/08/2025 00:04:00.4020	5,4321769E-003	-4,1598571E-003
27/08/2025 00:04:00.5020	6,0685435E-003	-4,1654343E-003
27/08/2025 00:04:00.6020	8,6140092E-003	-4,1609267E-003
27/08/2025 00:04:00.7020	7,9776440E-003	-4,1644028E-003
27/08/2025 00:04:00.8020	1,1795843E-002	-4,1590170E-003
27/08/2025 00:04:00.9020	9,8867435E-003	-4,1628750E-003
27/08/2025 00:04:01.0020	1,1795843E-002	-4,1605067E-003
27/08/2025 00:04:01.1020	4,7958097E-003	-4,1547385E-003
27/08/2025 00:04:01.2020	1,6139771E-003	-4,1626841E-003
27/08/2025 00:04:01.3020	7,3412773E-003	-4,1636392E-003
27/08/2025 00:04:01.4020	9,2503773E-003	-4,1571832E-003
27/08/2025 00:04:01.5020	7,9776440E-003	-4,1663512E-003
27/08/2025 00:04:01.6020	7,3412773E-003	-4,1601630E-003
27/08/2025 00:04:01.7020	9,8867435E-003	-4,1600098E-003
27/08/2025 00:04:01.8020	6,7049102E-003	-4,1622641E-003
27/08/2025 00:04:01.9020	1,0523110E-002	-4,1591697E-003
27/08/2025 00:04:02.0020	1,7523142E-002	-4,1597812E-003
27/08/2025 00:04:02.1020	1,0523110E-002	-4,1598571E-003
27/08/2025 00:04:02.2020	1,1795843E-002	-4,1652815E-003
27/08/2025 00:04:02.3020	4,1594426E-003	-4,1556172E-003
27/08/2025 00:04:02.4020	1,1795843E-002	-4,1683759E-003
27/08/2025 00:04:02.5020	9,2503773E-003	-4,1637532E-003
27/08/2025 00:04:02.6020	6,0685435E-003	-4,1493909E-003
27/08/2025 00:04:02.7020	1,1795843E-002	-4,1627986E-003
27/08/2025 00:04:02.8020	9,2503773E-003	-4,1617290E-003
27/08/2025 00:04:02.9020	9,8867435E-003	-4,1591697E-003
27/08/2025 00:04:03.0020	9,8867435E-003	-4,1645174E-003
27/08/2025 00:04:03.1020	9,8867435E-003	-4,1590552E-003
27/08/2025 00:04:03.2020	8,6140092E-003	-4,1576801E-003
27/08/2025 00:04:03.3020	6,7049102E-003	-4,1587497E-003
27/08/2025 00:04:03.4020	1,6250411E-002	-4,1579087E-003
27/08/2025 00:04:03.5020	6,0685435E-003	-4,1523320E-003
27/08/2025 00:04:03.6020	1,8159511E-002	-4,1627223E-003
27/08/2025 00:04:03.7020	5,4321769E-003	-4,1634096E-003
27/08/2025 00:04:03.8020	3,5230771E-003	-4,1557318E-003
27/08/2025 00:04:03.9020	1,0523110E-002	-4,1629896E-003
27/08/2025 00:04:04.0020	9,2503773E-003	-4,1612326E-003
27/08/2025 00:04:04.1020	5,4321769E-003	-4,1521029E-003
27/08/2025 00:04:04.2020	5,4321769E-003	-4,1600866E-003
27/08/2025 00:04:04.3020	6,7049102E-003	-4,1656638E-003
27/08/2025 00:04:04.4020	7,3412773E-003	-4,1611181E-003
27/08/2025 00:04:04.5020	9,2503773E-003	-4,1689104E-003
27/08/2025 00:04:04.6020	1,0523110E-002	-4,1630277E-003
27/08/2025 00:04:04.7020	1,7523142E-002	-4,1564954E-003
27/08/2025 00:04:04.8020	1,1795843E-002	-4,1671535E-003
27/08/2025 00:04:04.9020	2,8867100E-003	-4,1596279E-003
27/08/2025 00:04:05.0020	9,8867435E-003	-4,1602012E-003
27/08/2025 00:04:05.1020	1,2432210E-002	-4,1675735E-003
27/08/2025 00:04:05.2020	1,3704944E-002	-4,1615763E-003
27/08/2025 00:04:05.3020	1,1159477E-002	-4,1588256E-003
27/08/2025 00:04:05.4020	1,3704944E-002	-4,1627223E-003
27/08/2025 00:04:05.5020	9,2503773E-003	-4,1644028E-003
27/08/2025 00:04:05.6020	1,4341311E-002	-4,1586733E-003
27/08/2025 00:04:05.7020	1,2432210E-002	-4,1613085E-003
27/08/2025 00:04:05.8020	1,1159477E-002	-4,1593607E-003
27/08/2025 00:04:05.9020	1,0523110E-002	-4,1618817E-003
27/08/2025 00:04:06.0020	1,3068578E-002	-4,1676504E-003
27/08/2025 00:04:06.1020	9,2503773E-003	-4,1631041E-003
27/08/2025 00:04:06.2020	4,1594426E-003	-4,1536307E-003
27/08/2025 00:04:06.3020	7,9776440E-003	-4,1692923E-003
27/08/2025 00:04:06.4020	1,0523110E-002	-4,1610030E-003
27/08/2025 00:04:06.5020	1,1159477E-002	-4,1575651E-003
27/08/2025 00:04:06.6020	4,1594426E-003	-4,1591697E-003
27/08/2025 00:04:06.7020	1,4977678E-002	-4,1634860E-003
27/08/2025 00:04:06.8020	1,0523110E-002	-4,1572982E-003
27/08/2025 00:04:06.9020	9,8867435E-003	-4,1616526E-003
27/08/2025 00:04:07.0020	6,0685435E-003	-4,1594752E-003
27/08/2025 00:04:07.1020	6,0685435E-003	-4,1562282E-003
27/08/2025 00:04:07.2020	1,1159477E-002	-4,1595516E-003
27/08/2025 00:04:07.3020	1,1795843E-002	-4,1580237E-003
27/08/2025 00:04:07.4020	1,2432210E-002	-4,1509182E-003
27/08/2025 00:04:07.5020	1,3068578E-002	-4,1617667E-003
27/08/2025 00:04:07.6020	4,7958097E-003	-4,1557699E-003
27/08/2025 00:04:07.7020	1,6886778E-002	-4,1594370E-003
27/08/2025 00:04:07.8020	4,7958097E-003	-4,1600484E-003
27/08/2025 00:04:07.9020	1,0523110E-002	-4,1622259E-003
27/08/2025 00:04:08.0020	9,2503773E-003	-4,1573741E-003
27/08/2025 00:04:08.1020	9,8867435E-003	-4,1651670E-003
27/08/2025 00:04:08.2020	3,5230771E-003	-4,1636392E-003
27/08/2025 00:04:08.3020	1,4341311E-002	-4,1547385E-003
27/08/2025 00:04:08.4020	1,1795843E-002	-4,1637532E-003
27/08/2025 00:04:08.5020	1,3068578E-002	-4,1582147E-003
27/08/2025 00:04:08.6020	5,4321769E-003	-4,1609267E-003
27/08/2025 00:04:08.7020	1,4341311E-002	-4,1652815E-003
27/08/2025 00:04:08.8020	1,0523110E-002	-4,1605067E-003
27/08/2025 00:04:08.9020	1,3704944E-002	-4,1632568E-003
27/08/2025 00:04:09.0020	2,8867100E-003	-4,1623018E-003
27/08/2025 00:04:09.1020	1,0523110E-002	-4,1668094E-003
27/08/2025 00:04:09.2020	9,2503773E-003	-4,1592843E-003
27/08/2025 00:04:09.3020	6,7049102E-003	-4,1646706E-003
27/08/2025 00:04:09.4020	5,4321769E-003	-4,1644028E-003
27/08/2025 00:04:09.5020	8,6140092E-003	-4,1555022E-003
27/08/2025 00:04:09.6020	1,4977678E-002	-4,1665421E-003
27/08/2025 00:04:09.7020	6,7049102E-003	-4,1603534E-003
27/08/2025 00:04:09.8020	9,2503773E-003	-4,1610799E-003
27/08/2025 00:04:09.9020	7,3412773E-003	-4,1641355E-003
