time/s	<I>/mA	Ewe/V	
27/08/2025 01:27:52.3641	2,421508564228325E+002	-2,0735073E-003
27/08/2025 01:27:53.3641	1,773201170227048E+002	-2,0926071E-003
27/08/2025 01:27:54.3641	1,400180407104490E+002	-2,0353077E-003
27/08/2025 01:27:55.3641	1,152451110687257E+002	-2,1117069E-003
27/08/2025 01:27:56.3641	9,676166804046602E+001	-2,1308069E-003
27/08/2025 01:27:57.3641	8,240094950714092E+001	-2,1690065E-003
27/08/2025 01:27:58.3641	7,088819770202633E+001	-2,1308069E-003
27/08/2025 01:27:59.3641	6,140993011703472E+001	-2,0544075E-003
27/08/2025 01:28:00.3641	5,345721353149412E+001	-2,1499067E-003
27/08/2025 01:28:01.3641	4,378125722724272E+001	-2,0926071E-003
27/08/2025 01:28:02.3641	4,051750676879874E+001	-2,0926071E-003
27/08/2025 01:28:03.3641	3,555037031555162E+001	-2,0735073E-003
27/08/2025 01:28:04.3641	3,130709867782591E+001	-2,1117069E-003
27/08/2025 01:28:05.3641	2,759003952827447E+001	-2,0544075E-003
27/08/2025 01:28:06.3641	2,434592064743041E+001	-2,0926071E-003
27/08/2025 01:28:07.3641	2,155700268974303E+001	-2,0735073E-003
27/08/2025 01:28:08.3641	1,908843848266599E+001	-2,1308069E-003
27/08/2025 01:28:09.3641	1,695568538417814E+001	-1,9971081E-003
27/08/2025 01:28:10.3641	1,507915938415528E+001	-2,0735073E-003
27/08/2025 01:28:11.3641	1,344628455429074E+001	-2,2645055E-003
27/08/2025 01:28:12.3641	1,201778343086241E+001	-2,0544075E-003
27/08/2025 01:28:13.3641	1,076224045886993E+001	-2,0162079E-003
27/08/2025 01:28:14.3641	9,684611481857289E+000	-2,0926071E-003
27/08/2025 01:28:15.3641	8,700708038330077E+000	-2,1117069E-003
27/08/2025 01:28:16.3641	7,847348947620361E+000	-2,1308069E-003
27/08/2025 01:28:17.3641	7,074028681087484E+000	-2,1308069E-003
27/08/2025 01:28:18.3641	6,382412476253506E+000	-2,0544075E-003
27/08/2025 01:28:19.3641	5,759070708179465E+000	-2,1499067E-003
27/08/2025 01:28:20.3641	5,181824319648733E+000	-2,0926071E-003
27/08/2025 01:28:21.3641	4,370720099096417E+000	-2,2263059E-003
27/08/2025 01:28:22.3641	4,141085992527010E+000	-2,2836053E-003
27/08/2025 01:28:23.3641	3,723508480358120E+000	-2,0926071E-003
27/08/2025 01:28:24.3641	3,344766090536112E+000	-2,0162079E-003
27/08/2025 01:28:25.3641	3,001022256851194E+000	-2,0735073E-003
27/08/2025 01:28:26.3641	2,703091698598854E+000	-2,1117069E-003
27/08/2025 01:28:27.3641	2,427567170143128E+000	-2,0162079E-003
27/08/2025 01:28:28.3641	2,193769954729079E+000	-2,1308069E-003
27/08/2025 01:28:29.3641	1,994239852380751E+000	-2,0162079E-003
27/08/2025 01:28:30.3641	1,827740576171873E+000	-2,1308069E-003
27/08/2025 01:28:31.3641	1,689816568207732E+000	-2,0926071E-003
27/08/2025 01:28:32.3641	1,577094880437851E+000	-2,0353077E-003
27/08/2025 01:28:33.3641	1,485700027680396E+000	-2,2072061E-003
27/08/2025 01:28:34.3641	1,415354608011246E+000	-2,0926071E-003
27/08/2025 01:28:35.3641	1,372045728373527E+000	-1,9398087E-003
27/08/2025 01:28:36.3641	1,336890781378745E+000	-2,0735073E-003
27/08/2025 01:28:37.3641	1,328091491270065E+000	-2,1117069E-003
27/08/2025 01:28:38.3641	1,330881007671356E+000	-2,2263059E-003
27/08/2025 01:28:39.3641	1,342827071809769E+000	-2,1308069E-003
27/08/2025 01:28:40.3641	1,370191171908377E+000	-2,1308069E-003
27/08/2025 01:28:41.3641	1,398426553821562E+000	-2,0926071E-003
27/08/2025 01:28:42.3641	1,434558145308494E+000	-2,1499067E-003
27/08/2025 01:28:43.3641	1,478463168692589E+000	-2,1308069E-003
27/08/2025 01:28:44.3641	1,529171930599213E+000	-2,1308069E-003
27/08/2025 01:28:45.3641	1,577947268962859E+000	-2,1308069E-003
27/08/2025 01:28:46.3641	1,631914054512976E+000	-2,1499067E-003
27/08/2025 01:28:47.3641	1,685225128126144E+000	-2,1881063E-003
27/08/2025 01:28:48.3641	1,743349975466721E+000	-2,0544075E-003
27/08/2025 01:28:49.3641	1,796340458989143E+000	-2,1690065E-003
27/08/2025 01:28:50.3641	1,849676803708075E+000	-2,1499067E-003
27/08/2025 01:28:51.3641	1,906596125340460E+000	-2,1499067E-003
27/08/2025 01:28:52.3641	1,960954861307137E+000	-2,0926071E-003
27/08/2025 01:28:53.3641	2,008212274503709E+000	-1,9971081E-003
27/08/2025 01:28:54.3641	2,055603682041166E+000	-2,1690065E-003
27/08/2025 01:28:55.3641	2,104527960157394E+000	-2,2072061E-003
27/08/2025 01:28:56.3641	2,149693533945079E+000	-2,1117069E-003
27/08/2025 01:28:57.3641	2,192253329515458E+000	-2,1117069E-003
27/08/2025 01:28:58.3641	2,234856666421884E+000	-2,0544075E-003
27/08/2025 01:28:59.3641	2,271239773845672E+000	-1,9971081E-003
27/08/2025 01:29:00.3641	2,307020021724696E+000	-2,0926071E-003
27/08/2025 01:29:01.3641	2,345706705236434E+000	-2,1117069E-003
27/08/2025 01:29:02.3641	2,379189917469024E+000	-2,2645055E-003
27/08/2025 01:29:03.3641	2,414685970306396E+000	-2,1499067E-003
