time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
31/08/2025 08:44:40.9845	1,9999814E+005	2,8225845E-001	-3,7310056E-002
31/08/2025 08:44:41.4195	1,5885727E+005	2,9515594E-001	-2,5490552E-002
31/08/2025 08:44:41.8545	1,2618765E+005	3,0246863E-001	-1,9317759E-002
31/08/2025 08:44:42.1485	1,0022640E+005	3,0609685E-001	-1,4210165E-002
31/08/2025 08:44:43.8435	7,9609563E+004	3,0737108E-001	-1,0585163E-002
31/08/2025 08:44:45.5385	6,3233004E+004	3,0806860E-001	-8,4112696E-003
31/08/2025 08:44:46.6725	5,0224539E+004	3,0844665E-001	-6,4577954E-003
31/08/2025 08:44:47.3875	3,9897566E+004	3,0873194E-001	-5,0189877E-003
31/08/2025 08:44:47.8215	3,1686090E+004	3,0885276E-001	-3,7263951E-003
31/08/2025 08:44:48.2565	2,5172580E+004	3,0923858E-001	-2,5832667E-003
31/08/2025 08:44:48.6905	1,9995176E+004	3,0949521E-001	-1,5267613E-003
31/08/2025 08:44:49.1245	1,5884798E+004	3,0969688E-001	-8,0613187E-004
31/08/2025 08:44:49.5585	1,2618766E+004	3,0979413E-001	-1,2872084E-004
31/08/2025 08:44:49.9935	1,0020785E+004	3,1001252E-001	4,8217943E-004
31/08/2025 08:44:50.4847	7,9597607E+003	3,1035087E-001	7,5391575E-004
31/08/2025 08:44:51.0663	6,3238188E+003	3,1047440E-001	1,2188737E-003
31/08/2025 08:44:51.5357	5,0216069E+003	3,1087875E-001	1,5247382E-003
31/08/2025 08:44:52.2269	3,9861731E+003	3,1116566E-001	1,8533784E-003
31/08/2025 08:44:52.6939	3,1669595E+003	3,1153214E-001	2,0462885E-003
31/08/2025 08:44:53.1597	2,5158047E+003	3,1192091E-001	2,1466704E-003
31/08/2025 08:44:53.6290	1,9980818E+003	3,1226808E-001	2,2486513E-003
31/08/2025 08:44:54.0950	1,5884750E+003	3,1273183E-001	2,6660995E-003
