time/s	I/mA	<Ewe/V>	
31/08/2025 10:23:17.7940	6,0685435E-003	-6,7374390E-003
31/08/2025 10:23:17.8940	9,2503773E-003	-6,7256503E-003
31/08/2025 10:23:17.9940	2,2503431E-003	-6,7193857E-003
31/08/2025 10:23:18.0940	2,8867100E-003	-6,7226710E-003
31/08/2025 10:23:18.1940	9,2503773E-003	-6,7145727E-003
31/08/2025 10:23:18.2940	9,2503773E-003	-6,7119752E-003
31/08/2025 10:23:18.3940	7,9776440E-003	-6,7167883E-003
31/08/2025 10:23:18.4940	1,4341311E-002	-6,7177811E-003
31/08/2025 10:23:18.5940	1,1159477E-002	-6,7140763E-003
31/08/2025 10:23:18.6940	7,3412773E-003	-6,7213341E-003
31/08/2025 10:23:18.7940	6,7049102E-003	-6,7204935E-003
31/08/2025 10:23:18.8940	7,3412773E-003	-6,7198058E-003
31/08/2025 10:23:18.9940	6,7049102E-003	-6,7212190E-003
31/08/2025 10:23:19.0940	1,3704944E-002	-6,7139231E-003
31/08/2025 10:23:19.1940	2,2503431E-003	-6,7150695E-003
31/08/2025 10:23:19.2940	9,2503773E-003	-6,7204554E-003
31/08/2025 10:23:19.3940	7,9776440E-003	-6,7159478E-003
31/08/2025 10:23:19.4940	1,1795843E-002	-6,7201876E-003
31/08/2025 10:23:19.5940	1,0523110E-002	-6,7172083E-003
31/08/2025 10:23:19.6940	7,9776440E-003	-6,7203026E-003
31/08/2025 10:23:19.7940	5,4321769E-003	-6,7145345E-003
31/08/2025 10:23:19.8940	9,2503773E-003	-6,7169792E-003
31/08/2025 10:23:19.9940	-2,9512335E-004	-6,7131971E-003
31/08/2025 10:23:20.0940	6,7049102E-003	-6,7125098E-003
31/08/2025 10:23:20.1940	2,2503431E-003	-6,7160241E-003
31/08/2025 10:23:20.2940	5,4321769E-003	-6,7176283E-003
31/08/2025 10:23:20.3940	9,2503773E-003	-6,7141904E-003
31/08/2025 10:23:20.4940	9,7761012E-004	-6,7244284E-003
31/08/2025 10:23:20.5940	8,6140092E-003	-6,7205699E-003
31/08/2025 10:23:20.6940	7,3412773E-003	-6,7188512E-003
31/08/2025 10:23:20.7940	1,2432210E-002	-6,7146108E-003
31/08/2025 10:23:20.8940	1,0523110E-002	-6,7247720E-003
31/08/2025 10:23:20.9940	8,6140092E-003	-6,7135412E-003
31/08/2025 10:23:21.0940	6,7049102E-003	-6,7150695E-003
31/08/2025 10:23:21.1940	9,8867435E-003	-6,7144199E-003
31/08/2025 10:23:21.2940	9,8867435E-003	-6,7177047E-003
31/08/2025 10:23:21.3940	6,0685435E-003	-6,7202263E-003
31/08/2025 10:23:21.4940	4,7958097E-003	-6,7140381E-003
31/08/2025 10:23:21.5940	7,3412773E-003	-6,7210286E-003
31/08/2025 10:23:21.6940	4,1594426E-003	-6,7197676E-003
31/08/2025 10:23:21.7940	1,1159477E-002	-6,7191562E-003
31/08/2025 10:23:21.8940	7,3412773E-003	-6,7173610E-003
31/08/2025 10:23:21.9940	2,2503431E-003	-6,7235115E-003
31/08/2025 10:23:22.0940	2,8867100E-003	-6,7204172E-003
31/08/2025 10:23:22.1940	1,6139771E-003	-6,7151836E-003
31/08/2025 10:23:22.2940	6,0685435E-003	-6,7192712E-003
31/08/2025 10:23:22.3940	4,7958097E-003	-6,7162914E-003
31/08/2025 10:23:22.4940	9,8867435E-003	-6,7164446E-003
31/08/2025 10:23:22.5940	9,8867435E-003	-6,7197676E-003
31/08/2025 10:23:22.6940	7,9776440E-003	-6,7157950E-003
31/08/2025 10:23:22.7940	9,8867435E-003	-6,7187361E-003
31/08/2025 10:23:22.8940	5,4321769E-003	-6,7196148E-003
31/08/2025 10:23:22.9940	9,8867435E-003	-6,7175524E-003
31/08/2025 10:23:23.0940	9,8867435E-003	-6,7201112E-003
31/08/2025 10:23:23.1940	5,4321769E-003	-6,7154896E-003
31/08/2025 10:23:23.2940	1,0523110E-002	-6,7148781E-003
31/08/2025 10:23:23.3940	1,1159477E-002	-6,7147636E-003
31/08/2025 10:23:23.4940	9,2503773E-003	-6,7148400E-003
31/08/2025 10:23:23.5940	6,0685435E-003	-6,7188125E-003
31/08/2025 10:23:23.6940	6,0685435E-003	-6,7190039E-003
31/08/2025 10:23:23.7940	5,4321769E-003	-6,7177047E-003
31/08/2025 10:23:23.8940	7,3412773E-003	-6,7183543E-003
31/08/2025 10:23:23.9940	6,7049102E-003	-6,7166733E-003
31/08/2025 10:23:24.0940	2,2503431E-003	-6,7157950E-003
31/08/2025 10:23:24.1940	2,8867100E-003	-6,7178197E-003
31/08/2025 10:23:24.2940	7,9776440E-003	-6,7124716E-003
31/08/2025 10:23:24.3940	9,8867435E-003	-6,7196530E-003
31/08/2025 10:23:24.4940	1,1159477E-002	-6,7179343E-003
31/08/2025 10:23:24.5940	4,1594426E-003	-6,7202258E-003
31/08/2025 10:23:24.6940	6,7049102E-003	-6,7167496E-003
31/08/2025 10:23:24.7940	9,2503773E-003	-6,7195003E-003
31/08/2025 10:23:24.8940	9,7761012E-004	-6,7198058E-003
31/08/2025 10:23:24.9940	1,1795843E-002	-6,7225560E-003
31/08/2025 10:23:25.0940	6,0685435E-003	-6,7177429E-003
31/08/2025 10:23:25.1940	4,7958097E-003	-6,7178961E-003
31/08/2025 10:23:25.2940	7,3412773E-003	-6,7082318E-003
31/08/2025 10:23:25.3940	5,4321769E-003	-6,7167496E-003
31/08/2025 10:23:25.4940	6,0685435E-003	-6,7166351E-003
31/08/2025 10:23:25.5940	9,2503773E-003	-6,7146108E-003
31/08/2025 10:23:25.6940	3,5230771E-003	-6,7130830E-003
31/08/2025 10:23:25.7940	2,2503431E-003	-6,7170174E-003
31/08/2025 10:23:25.8940	1,6886778E-002	-6,7193857E-003
31/08/2025 10:23:25.9940	9,8867435E-003	-6,7170556E-003
31/08/2025 10:23:26.0940	1,1795843E-002	-6,7185839E-003
31/08/2025 10:23:26.1940	1,3068578E-002	-6,7204935E-003
31/08/2025 10:23:26.2940	1,1795843E-002	-6,7146486E-003
31/08/2025 10:23:26.3940	8,6140092E-003	-6,7218686E-003
31/08/2025 10:23:26.4940	8,6140092E-003	-6,7214486E-003
31/08/2025 10:23:26.5940	7,3412773E-003	-6,7176665E-003
31/08/2025 10:23:26.6940	1,1159477E-002	-6,7158714E-003
31/08/2025 10:23:26.7940	7,9776440E-003	-6,7196912E-003
31/08/2025 10:23:26.8940	1,0523110E-002	-6,7130448E-003
31/08/2025 10:23:26.9940	4,1594426E-003	-6,7164828E-003
31/08/2025 10:23:27.0940	6,7049102E-003	-6,7142667E-003
31/08/2025 10:23:27.1940	6,0685435E-003	-6,7150309E-003
31/08/2025 10:23:27.2940	1,1159477E-002	-6,7194239E-003
31/08/2025 10:23:27.3940	4,1594426E-003	-6,7102560E-003
31/08/2025 10:23:27.4940	4,1594426E-003	-6,7118602E-003
31/08/2025 10:23:27.5940	9,8867435E-003	-6,7194239E-003
31/08/2025 10:23:27.6940	6,7049102E-003	-6,7188125E-003
31/08/2025 10:23:27.7940	1,4341311E-002	-6,7118984E-003
31/08/2025 10:23:27.8940	7,3412773E-003	-6,7184307E-003
31/08/2025 10:23:27.9940	6,0685435E-003	-6,7157182E-003
31/08/2025 10:23:28.0940	6,7049102E-003	-6,7157568E-003
31/08/2025 10:23:28.1940	9,2503773E-003	-6,7186598E-003
31/08/2025 10:23:28.2940	1,6139771E-003	-6,7215627E-003
31/08/2025 10:23:28.3940	3,4124311E-004	-6,7126630E-003
31/08/2025 10:23:28.4940	4,7958097E-003	-6,7144963E-003
31/08/2025 10:23:28.5940	9,8867435E-003	-6,7136176E-003
31/08/2025 10:23:28.6940	8,6140092E-003	-6,7171319E-003
31/08/2025 10:23:28.7940	2,8867100E-003	-6,7131594E-003
31/08/2025 10:23:28.8940	6,0685435E-003	-6,7180870E-003
31/08/2025 10:23:28.9940	1,5614044E-002	-6,7149545E-003
31/08/2025 10:23:29.0940	8,6140092E-003	-6,7170174E-003
31/08/2025 10:23:29.1940	7,3412773E-003	-6,7210286E-003
31/08/2025 10:23:29.2940	5,4321769E-003	-6,7133117E-003
31/08/2025 10:23:29.3940	6,7049102E-003	-6,7195003E-003
31/08/2025 10:23:29.4940	9,2503773E-003	-6,7206845E-003
31/08/2025 10:23:29.5940	1,4341311E-002	-6,7149927E-003
31/08/2025 10:23:29.6940	1,1159477E-002	-6,7209522E-003
31/08/2025 10:23:29.7940	1,1795843E-002	-6,7195003E-003
31/08/2025 10:23:29.8940	5,4321769E-003	-6,7153363E-003
31/08/2025 10:23:29.9940	7,3412773E-003	-6,7212190E-003
31/08/2025 10:23:30.0940	1,4341311E-002	-6,7104469E-003
31/08/2025 10:23:30.1940	1,3068578E-002	-6,7173610E-003
31/08/2025 10:23:30.2940	1,0523110E-002	-6,7177429E-003
31/08/2025 10:23:30.3940	6,0685435E-003	-6,7173992E-003
31/08/2025 10:23:30.4940	1,0523110E-002	-6,7164060E-003
31/08/2025 10:23:30.5940	6,7049102E-003	-6,7174761E-003
31/08/2025 10:23:30.6940	9,8867435E-003	-6,7205699E-003
31/08/2025 10:23:30.7940	3,5230771E-003	-6,7241988E-003
31/08/2025 10:23:30.8940	6,7049102E-003	-6,7230151E-003
31/08/2025 10:23:30.9940	2,2503431E-003	-6,7189275E-003
31/08/2025 10:23:31.0940	5,4321769E-003	-6,7141145E-003
31/08/2025 10:23:31.1940	6,0685435E-003	-6,7157182E-003
31/08/2025 10:23:31.2940	5,4321769E-003	-6,7197294E-003
31/08/2025 10:23:31.3940	7,3412773E-003	-6,7141904E-003
31/08/2025 10:23:31.4940	1,6139771E-003	-6,7182016E-003
31/08/2025 10:23:31.5940	4,1594426E-003	-6,7177811E-003
31/08/2025 10:23:31.6940	7,9776440E-003	-6,7148781E-003
31/08/2025 10:23:31.7940	3,5230771E-003	-6,7219068E-003
31/08/2025 10:23:31.8940	4,1594426E-003	-6,7176665E-003
31/08/2025 10:23:31.9940	4,7958097E-003	-6,7140381E-003
31/08/2025 10:23:32.0940	7,9776440E-003	-6,7246952E-003
31/08/2025 10:23:32.1940	4,7958097E-003	-6,7198440E-003
31/08/2025 10:23:32.2940	3,4124311E-004	-6,7190803E-003
31/08/2025 10:23:32.3940	7,3412773E-003	-6,7182397E-003
31/08/2025 10:23:32.4940	1,4341311E-002	-6,7190039E-003
31/08/2025 10:23:32.5940	2,8867100E-003	-6,7173992E-003
31/08/2025 10:23:32.6940	1,3704944E-002	-6,7188893E-003
31/08/2025 10:23:32.7940	5,4321769E-003	-6,7188893E-003
31/08/2025 10:23:32.8940	9,7761012E-004	-6,7127007E-003
31/08/2025 10:23:32.9940	1,1795843E-002	-6,7213723E-003
31/08/2025 10:23:33.0940	1,1795843E-002	-6,7200735E-003
31/08/2025 10:23:33.1940	4,1594426E-003	-6,7134649E-003
31/08/2025 10:23:33.2940	2,8867100E-003	-6,7202258E-003
31/08/2025 10:23:33.3940	2,2503431E-003	-6,7151077E-003
31/08/2025 10:23:33.4940	9,2503773E-003	-6,7152600E-003
31/08/2025 10:23:33.5940	4,7958097E-003	-6,7224037E-003
31/08/2025 10:23:33.6940	9,2503773E-003	-6,7206463E-003
31/08/2025 10:23:33.7940	4,7958097E-003	-6,7196912E-003
31/08/2025 10:23:33.8940	4,7958097E-003	-6,7240079E-003
31/08/2025 10:23:33.9940	-4,1133231E-003	-6,7180870E-003
31/08/2025 10:23:34.0940	-9,3149021E-004	-6,7197676E-003
31/08/2025 10:23:34.1940	1,2432210E-002	-6,7199208E-003
31/08/2025 10:23:34.2940	4,1594426E-003	-6,7201876E-003
31/08/2025 10:23:34.3940	1,2432210E-002	-6,7208754E-003
31/08/2025 10:23:34.4940	9,8867435E-003	-6,7214486E-003
31/08/2025 10:23:34.5940	4,1594426E-003	-6,7203026E-003
31/08/2025 10:23:34.6940	9,8867435E-003	-6,7229765E-003
31/08/2025 10:23:34.7940	4,7958097E-003	-6,7234733E-003
31/08/2025 10:23:34.8940	1,4977678E-002	-6,7192330E-003
31/08/2025 10:23:34.9940	3,4124311E-004	-6,7169410E-003
31/08/2025 10:23:35.0940	4,7958097E-003	-6,7186980E-003
31/08/2025 10:23:35.1940	1,4341311E-002	-6,7149927E-003
31/08/2025 10:23:35.2940	6,0685435E-003	-6,7185839E-003
31/08/2025 10:23:35.3940	1,0523110E-002	-6,7143431E-003
31/08/2025 10:23:35.4940	1,0523110E-002	-6,7156800E-003
31/08/2025 10:23:35.5940	8,6140092E-003	-6,7169410E-003
31/08/2025 10:23:35.6940	5,4321769E-003	-6,7189657E-003
31/08/2025 10:23:35.7940	7,3412773E-003	-6,7249630E-003
31/08/2025 10:23:35.8940	1,2432210E-002	-6,7175142E-003
31/08/2025 10:23:35.9940	1,1795843E-002	-6,7215627E-003
31/08/2025 10:23:36.0940	3,5230771E-003	-6,7166733E-003
31/08/2025 10:23:36.1940	1,6139771E-003	-6,7207608E-003
31/08/2025 10:23:36.2940	5,4321769E-003	-6,7194621E-003
31/08/2025 10:23:36.3940	5,4321769E-003	-6,7152218E-003
31/08/2025 10:23:36.4940	7,9776440E-003	-6,7182016E-003
31/08/2025 10:23:36.5940	7,9776440E-003	-6,7207608E-003
31/08/2025 10:23:36.6940	6,0685435E-003	-6,7190039E-003
31/08/2025 10:23:36.7940	7,9776440E-003	-6,7155659E-003
