time/s	<I>/mA	Ewe/V	
31/08/2025 11:47:18.9561	1,435158946355032E+002	-1,9971081E-003
31/08/2025 11:47:19.9561	9,543161950683589E+001	-2,1499067E-003
31/08/2025 11:47:20.9561	6,756248215179448E+001	-2,0735073E-003
31/08/2025 11:47:21.9561	4,301982385140877E+001	-2,0735073E-003
31/08/2025 11:47:22.9561	3,780946468505852E+001	-2,0735073E-003
31/08/2025 11:47:23.9561	2,950730655059812E+001	-2,0353077E-003
31/08/2025 11:47:24.9561	2,360515807838439E+001	-2,0926071E-003
31/08/2025 11:47:25.9561	1,938779997558592E+001	-2,1881063E-003
31/08/2025 11:47:26.9561	1,636267114105223E+001	-2,0735073E-003
31/08/2025 11:47:27.9561	1,414280440444944E+001	-2,0544075E-003
31/08/2025 11:47:28.9561	1,245293007602692E+001	-2,0544075E-003
31/08/2025 11:47:29.9561	1,115194882678986E+001	-2,1308069E-003
31/08/2025 11:47:30.9561	1,016101801204681E+001	-2,0926071E-003
31/08/2025 11:47:31.9561	9,422973050880415E+000	-2,0544075E-003
31/08/2025 11:47:32.9561	8,900734270477273E+000	-2,0544075E-003
31/08/2025 11:47:33.9561	8,566094968223581E+000	-2,1117069E-003
31/08/2025 11:47:34.9561	8,378165430068961E+000	-2,0353077E-003
31/08/2025 11:47:35.9561	8,304409312820411E+000	-2,1499067E-003
31/08/2025 11:47:36.9561	8,316845025825494E+000	-2,0926071E-003
31/08/2025 11:47:37.9561	8,385204175758361E+000	-2,1690065E-003
31/08/2025 11:47:38.9561	8,480548825454711E+000	-2,1117069E-003
31/08/2025 11:47:39.9561	8,589054896354668E+000	-2,1117069E-003
31/08/2025 11:47:40.9561	8,705104527473452E+000	-2,1881063E-003
31/08/2025 11:47:41.9561	8,810177767372132E+000	-2,0544075E-003
31/08/2025 11:47:42.9561	8,917977024650554E+000	-2,0926071E-003
31/08/2025 11:47:43.9561	9,007165092849718E+000	-2,1117069E-003
31/08/2025 11:47:44.9561	9,087535829544068E+000	-2,1881063E-003
31/08/2025 11:47:45.9561	9,155932083129869E+000	-2,2072061E-003
31/08/2025 11:47:46.9561	9,222420669364929E+000	-2,0735073E-003
31/08/2025 11:47:47.9561	9,278564649200433E+000	-2,0544075E-003
31/08/2025 11:47:48.9561	9,328757954025264E+000	-2,1117069E-003
31/08/2025 11:47:49.9561	9,369454308319092E+000	-2,1690065E-003
31/08/2025 11:47:50.9561	9,409620623397814E+000	-2,1499067E-003
