time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
30/08/2025 14:54:25.5025	1,9999814E+005	3,1364742E-001	-3,3982445E-002
30/08/2025 14:54:25.9365	1,5885727E+005	3,2769454E-001	-2,2662897E-002
30/08/2025 14:54:26.3705	1,2618765E+005	3,3499134E-001	-1,5818479E-002
30/08/2025 14:54:26.6655	1,0022640E+005	3,3930811E-001	-1,1470364E-002
30/08/2025 14:54:28.3595	7,9609563E+004	3,4097865E-001	-8,2663232E-003
30/08/2025 14:54:30.0545	6,3233004E+004	3,4195334E-001	-6,3507087E-003
30/08/2025 14:54:31.3285	5,0224539E+004	3,4263760E-001	-4,8390818E-003
30/08/2025 14:54:32.0425	3,9897566E+004	3,4304464E-001	-3,6017071E-003
30/08/2025 14:54:32.6175	3,1686090E+004	3,4353215E-001	-2,1109704E-003
30/08/2025 14:54:33.0525	2,5172580E+004	3,4377813E-001	-1,1424314E-003
30/08/2025 14:54:33.4865	1,9995176E+004	3,4404454E-001	-6,0444447E-004
30/08/2025 14:54:33.9205	1,5884798E+004	3,4429380E-001	6,3187013E-005
30/08/2025 14:54:34.3545	1,2618766E+004	3,4470123E-001	6,7198189E-004
30/08/2025 14:54:34.7895	1,0020785E+004	3,4500647E-001	1,0718602E-003
30/08/2025 14:54:35.2808	7,9597607E+003	3,4518155E-001	1,4129668E-003
30/08/2025 14:54:35.6753	6,3238188E+003	3,4561256E-001	1,8008885E-003
30/08/2025 14:54:36.3667	5,0216069E+003	3,4601748E-001	1,9907055E-003
30/08/2025 14:54:36.8340	3,9861731E+003	3,4633639E-001	2,2411870E-003
30/08/2025 14:54:37.3010	3,1669595E+003	3,4676957E-001	2,6459310E-003
30/08/2025 14:54:37.7667	2,5158047E+003	3,4703234E-001	2,9524995E-003
30/08/2025 14:54:38.2349	1,9980818E+003	3,4756219E-001	2,9488776E-003
30/08/2025 14:54:38.7009	1,5884750E+003	3,4806365E-001	3,2420834E-003
30/08/2025 14:54:39.1667	1,2604036E+003	3,4837404E-001	3,3918254E-003
30/08/2025 14:54:39.6344	1,0016024E+003	3,4900931E-001	3,6034358E-003
30/08/2025 14:54:40.1027	7,9525409E+002	3,4952641E-001	3,9755171E-003
30/08/2025 14:54:40.5692	6,3181964E+002	3,5032016E-001	4,1274093E-003
30/08/2025 14:54:41.0349	5,0208865E+002	3,5079187E-001	4,1891150E-003
30/08/2025 14:54:41.5024	3,9859698E+002	3,5154471E-001	4,6347994E-003
30/08/2025 14:54:41.9676	3,1672299E+002	3,5215682E-001	4,8456034E-003
30/08/2025 14:54:42.4324	2,5169135E+002	3,5281351E-001	4,9542245E-003
30/08/2025 14:54:42.9000	1,9980818E+002	3,5367021E-001	5,3599300E-003
30/08/2025 14:54:43.3695	1,5862943E+002	3,5437348E-001	5,6394981E-003
30/08/2025 14:54:43.8342	1,2600809E+002	3,5515836E-001	5,8557205E-003
