time/s	I/mA	<Ewe/V>	
30/08/2025 16:05:36.8610	7,3412773E-003	-6,7416439E-003
30/08/2025 16:05:36.9610	5,4321769E-003	-6,7379507E-003
30/08/2025 16:05:37.0610	1,3068578E-002	-6,7329463E-003
30/08/2025 16:05:37.1610	9,8867435E-003	-6,7318771E-003
30/08/2025 16:05:37.2610	9,8867435E-003	-6,7327558E-003
30/08/2025 16:05:37.3610	5,4321769E-003	-6,7382948E-003
30/08/2025 16:05:37.4610	8,6140092E-003	-6,7333286E-003
30/08/2025 16:05:37.5610	6,7049102E-003	-6,7397463E-003
30/08/2025 16:05:37.6610	7,9776440E-003	-6,7364224E-003
30/08/2025 16:05:37.7610	9,7761012E-004	-6,7331376E-003
30/08/2025 16:05:37.8610	6,7049102E-003	-6,7348569E-003
30/08/2025 16:05:37.9610	2,2503431E-003	-6,7367665E-003
30/08/2025 16:05:38.0610	9,2503773E-003	-6,7342073E-003
30/08/2025 16:05:38.1610	2,2503431E-003	-6,7333286E-003
30/08/2025 16:05:38.2610	1,1795843E-002	-6,7340541E-003
30/08/2025 16:05:38.3610	5,4321769E-003	-6,7351242E-003
30/08/2025 16:05:38.4610	5,4321769E-003	-6,7323353E-003
30/08/2025 16:05:38.5610	4,7958097E-003	-6,7305397E-003
30/08/2025 16:05:38.6610	9,8867435E-003	-6,7333668E-003
30/08/2025 16:05:38.7610	6,7049102E-003	-6,7329463E-003
30/08/2025 16:05:38.8610	6,7049102E-003	-6,7334431E-003
30/08/2025 16:05:38.9610	9,8867435E-003	-6,7357733E-003
30/08/2025 16:05:39.0610	8,6140092E-003	-6,7334054E-003
30/08/2025 16:05:39.1610	8,6140092E-003	-6,7401282E-003
30/08/2025 16:05:39.2610	4,7958097E-003	-6,7339395E-003
30/08/2025 16:05:39.3610	9,8867435E-003	-6,7330226E-003
30/08/2025 16:05:39.4610	6,0685435E-003	-6,7345891E-003
30/08/2025 16:05:39.5610	3,5230771E-003	-6,7378362E-003
30/08/2025 16:05:39.6610	1,1159477E-002	-6,7350091E-003
30/08/2025 16:05:39.7610	8,6140092E-003	-6,7406632E-003
30/08/2025 16:05:39.8610	6,7049102E-003	-6,7348187E-003
30/08/2025 16:05:39.9610	1,1795843E-002	-6,7354678E-003
30/08/2025 16:05:40.0610	7,9776440E-003	-6,7379125E-003
30/08/2025 16:05:40.1610	1,1159477E-002	-6,7375307E-003
30/08/2025 16:05:40.2610	9,8867435E-003	-6,7299670E-003
30/08/2025 16:05:40.3610	2,2503431E-003	-6,7378362E-003
30/08/2025 16:05:40.4610	1,3704944E-002	-6,7334431E-003
30/08/2025 16:05:40.5610	6,0685435E-003	-6,7352005E-003
30/08/2025 16:05:40.6610	1,1159477E-002	-6,7373398E-003
30/08/2025 16:05:40.7610	8,6140092E-003	-6,7374157E-003
30/08/2025 16:05:40.8610	6,7049102E-003	-6,7376452E-003
30/08/2025 16:05:40.9610	6,7049102E-003	-6,7400518E-003
30/08/2025 16:05:41.0610	4,7958097E-003	-6,7371870E-003
30/08/2025 16:05:41.1610	1,1795843E-002	-6,7364606E-003
30/08/2025 16:05:41.2610	6,0685435E-003	-6,7382185E-003
30/08/2025 16:05:41.3610	2,8867100E-003	-6,7364606E-003
