time/s	<I>/mA	Ewe/V	
30/08/2025 17:24:19.7033	4,363171822499107E+002	-2,0544075E-003
30/08/2025 17:24:20.7033	3,389337539794915E+002	-2,1308069E-003
30/08/2025 17:24:21.7033	2,903396333923338E+002	-2,1308069E-003
30/08/2025 17:24:22.7033	2,587835918426508E+002	-2,1117069E-003
30/08/2025 17:24:23.7033	2,355779034698480E+002	-2,1117069E-003
30/08/2025 17:24:24.7033	2,170608775634764E+002	-2,1117069E-003
30/08/2025 17:24:25.7033	2,017652624664304E+002	-2,1881063E-003
30/08/2025 17:24:26.7033	1,889267893646239E+002	-2,1308069E-003
30/08/2025 17:24:27.7033	1,777849009063716E+002	-2,2072061E-003
30/08/2025 17:24:28.7033	1,680180935119629E+002	-2,0926071E-003
30/08/2025 17:24:29.7033	1,592157478515624E+002	-2,1690065E-003
30/08/2025 17:24:30.7033	1,512220303710938E+002	-2,1117069E-003
30/08/2025 17:24:31.7033	1,440724824523925E+002	-2,1117069E-003
30/08/2025 17:24:32.7033	1,374692519897461E+002	-2,0544075E-003
30/08/2025 17:24:33.7033	1,314711871307372E+002	-2,2072061E-003
30/08/2025 17:24:34.7033	1,258813667434692E+002	-2,1690065E-003
30/08/2025 17:24:35.7033	1,206203938522337E+002	-2,0735073E-003
30/08/2025 17:24:36.7033	1,157310427474974E+002	-2,0926071E-003
30/08/2025 17:24:37.7033	1,111355997985838E+002	-2,2072061E-003
30/08/2025 17:24:38.7033	1,068945928100586E+002	-2,1117069E-003
30/08/2025 17:24:39.7033	1,028831568038939E+002	-2,1499067E-003
30/08/2025 17:24:40.7033	9,904666797943116E+001	-2,1499067E-003
30/08/2025 17:24:41.7033	9,544529664611815E+001	-2,1881063E-003
30/08/2025 17:24:42.7033	9,204481428375243E+001	-2,0735073E-003
30/08/2025 17:24:43.7033	8,885818418121335E+001	-2,1308069E-003
30/08/2025 17:24:44.7033	8,583536465148927E+001	-2,1308069E-003
30/08/2025 17:24:45.7033	8,291336576995855E+001	-2,1499067E-003
30/08/2025 17:24:46.7033	8,013078924865715E+001	-2,1117069E-003
30/08/2025 17:24:47.7033	7,748160623626706E+001	-2,0926071E-003
30/08/2025 17:24:48.7033	7,497429902038562E+001	-2,1308069E-003
30/08/2025 17:24:49.7033	7,257619653930658E+001	-2,2645055E-003
30/08/2025 17:24:50.7033	7,025482383422832E+001	-2,1117069E-003
30/08/2025 17:24:51.7033	6,802858925018290E+001	-2,2645055E-003
30/08/2025 17:24:52.7033	6,590999409332267E+001	-2,1499067E-003
30/08/2025 17:24:53.7033	6,387034611358642E+001	-2,1308069E-003
30/08/2025 17:24:54.7033	6,193187203979494E+001	-2,1117069E-003
30/08/2025 17:24:55.7033	6,006169687042222E+001	-2,0926071E-003
30/08/2025 17:24:56.7033	5,822691809539788E+001	-2,1881063E-003
30/08/2025 17:24:57.7033	5,646615231933593E+001	-2,1499067E-003
30/08/2025 17:24:58.7033	5,479731873168930E+001	-2,1881063E-003
30/08/2025 17:24:59.7033	5,319358999176029E+001	-2,1499067E-003
30/08/2025 17:25:00.7033	5,164697279663085E+001	-2,1499067E-003
30/08/2025 17:25:01.7033	5,011921691207885E+001	-2,0735073E-003
30/08/2025 17:25:02.7033	4,866052486038211E+001	-2,0162079E-003
30/08/2025 17:25:03.7033	4,726441343841543E+001	-2,0162079E-003
30/08/2025 17:25:04.7033	4,590665695877078E+001	-2,1117069E-003
30/08/2025 17:25:05.7033	4,395266352140955E+001	-2,1117069E-003
30/08/2025 17:25:06.7033	4,285583264541617E+001	-2,1117069E-003
30/08/2025 17:25:07.7033	4,162792183609008E+001	-2,1499067E-003
30/08/2025 17:25:08.7033	4,044234727096557E+001	-2,1308069E-003
30/08/2025 17:25:09.7033	3,930450954895014E+001	-2,2645055E-003
30/08/2025 17:25:10.7033	3,823082504196157E+001	-2,0544075E-003
30/08/2025 17:25:11.7033	3,716316584625244E+001	-2,0926071E-003
30/08/2025 17:25:12.7033	3,612551154327392E+001	-2,1881063E-003
30/08/2025 17:25:13.7033	3,513000799484252E+001	-2,2645055E-003
30/08/2025 17:25:14.7033	3,416624899368281E+001	-2,0735073E-003
30/08/2025 17:25:15.7033	3,327086742248525E+001	-2,1117069E-003
30/08/2025 17:25:16.7033	3,237523407173148E+001	-2,1499067E-003
30/08/2025 17:25:17.7033	3,151090703506463E+001	-2,1690065E-003
30/08/2025 17:25:18.7033	3,067694933090206E+001	-2,1690065E-003
30/08/2025 17:25:19.7033	2,986874726448059E+001	-2,1881063E-003
30/08/2025 17:25:20.7033	2,912943734817497E+001	-2,1117069E-003
30/08/2025 17:25:21.7033	2,838339769935601E+001	-2,1117069E-003
30/08/2025 17:25:22.7033	2,766147644348143E+001	-2,1117069E-003
30/08/2025 17:25:23.7033	2,696438276252741E+001	-2,2072061E-003
30/08/2025 17:25:24.7033	2,629622044067384E+001	-2,1499067E-003
30/08/2025 17:25:25.7033	2,568072339286803E+001	-2,1117069E-003
30/08/2025 17:25:26.7033	2,505266007385254E+001	-2,0926071E-003
30/08/2025 17:25:27.7033	2,444360558929442E+001	-2,1117069E-003
30/08/2025 17:25:28.7033	2,385810534019464E+001	-2,1881063E-003
30/08/2025 17:25:29.7033	2,329046668930050E+001	-2,2263059E-003
30/08/2025 17:25:30.7033	2,278277726860046E+001	-2,1690065E-003
30/08/2025 17:25:31.7033	2,227603317794799E+001	-2,0735073E-003
30/08/2025 17:25:32.7033	2,177683974456787E+001	-2,2072061E-003
30/08/2025 17:25:33.7033	2,129341080322266E+001	-2,1117069E-003
30/08/2025 17:25:34.7033	2,082723683395380E+001	-1,9780083E-003
30/08/2025 17:25:35.7033	2,041147499732966E+001	-2,1690065E-003
30/08/2025 17:25:36.7033	1,998562386245726E+001	-2,0353077E-003
30/08/2025 17:25:37.7033	1,956359486389160E+001	-2,1308069E-003
30/08/2025 17:25:38.7033	1,915934750976562E+001	-2,0926071E-003
30/08/2025 17:25:39.7033	1,877534249763488E+001	-2,1499067E-003
30/08/2025 17:25:40.7033	1,843774431571960E+001	-2,0544075E-003
30/08/2025 17:25:41.7033	1,808641882247917E+001	-2,1499067E-003
30/08/2025 17:25:42.7033	1,773154613533021E+001	-2,1117069E-003
30/08/2025 17:25:43.7033	1,739048040924069E+001	-2,1690065E-003
30/08/2025 17:25:44.7033	1,706605170860290E+001	-2,0926071E-003
30/08/2025 17:25:45.7033	1,678165241165161E+001	-2,0735073E-003
30/08/2025 17:25:46.7033	1,649119698371885E+001	-2,2072061E-003
30/08/2025 17:25:47.7033	1,619456115264892E+001	-2,2072061E-003
30/08/2025 17:25:48.7033	1,590777358303063E+001	-2,1308069E-003
30/08/2025 17:25:49.7033	1,563322590408322E+001	-2,1690065E-003
30/08/2025 17:25:50.7033	1,539700982246399E+001	-2,0735073E-003
30/08/2025 17:25:51.7033	1,515594052658079E+001	-2,2072061E-003
30/08/2025 17:25:52.7033	1,490455028038019E+001	-2,1499067E-003
30/08/2025 17:25:53.7033	1,465128780117033E+001	-2,0544075E-003
30/08/2025 17:25:54.7033	1,442188188858032E+001	-2,0926071E-003
30/08/2025 17:25:55.7033	1,422712163639068E+001	-2,1690065E-003
30/08/2025 17:25:56.7033	1,402042910614011E+001	-2,2454057E-003
30/08/2025 17:25:57.7033	1,380946966133115E+001	-2,1881063E-003
30/08/2025 17:25:58.7033	1,358861699180596E+001	-2,1308069E-003
30/08/2025 17:25:59.7033	1,338157401905056E+001	-2,0926071E-003
30/08/2025 17:26:00.7033	1,320823914108274E+001	-2,0353077E-003
30/08/2025 17:26:01.7033	1,302917310733794E+001	-2,1499067E-003
30/08/2025 17:26:02.7033	1,284213531723022E+001	-2,0735073E-003
30/08/2025 17:26:03.7033	1,264280028476715E+001	-2,1499067E-003
30/08/2025 17:26:04.7033	1,247159958763122E+001	-2,0162079E-003
30/08/2025 17:26:05.7033	1,232123350563049E+001	-2,1881063E-003
30/08/2025 17:26:06.7033	1,216022804756162E+001	-2,0926071E-003
30/08/2025 17:26:07.7033	1,199353053703305E+001	-2,1690065E-003
30/08/2025 17:26:08.7033	1,180658511276245E+001	-2,1499067E-003
30/08/2025 17:26:09.7033	1,165134926109313E+001	-2,1690065E-003
30/08/2025 17:26:10.7033	1,152028822879791E+001	-2,1117069E-003
30/08/2025 17:26:11.7033	1,137625959339141E+001	-2,1881063E-003
30/08/2025 17:26:12.7033	1,123429199657440E+001	-2,1881063E-003
30/08/2025 17:26:13.7033	1,106903189849852E+001	-2,0735073E-003
30/08/2025 17:26:14.7033	1,091403742580414E+001	-2,2072061E-003
30/08/2025 17:26:15.7033	1,078930655937194E+001	-2,0926071E-003
30/08/2025 17:26:16.7033	1,064818264541626E+001	-2,1690065E-003
30/08/2025 17:26:17.7033	1,051173042945861E+001	-2,1690065E-003
30/08/2025 17:26:18.7033	1,036118425769804E+001	-2,0926071E-003
30/08/2025 17:26:19.7033	1,023370704860687E+001	-2,0735073E-003
30/08/2025 17:26:20.7033	1,012321751308441E+001	-2,1308069E-003
30/08/2025 17:26:21.7033	9,992656517410282E+000	-2,1499067E-003
30/08/2025 17:26:22.7033	9,864923215103147E+000	-2,1881063E-003
30/08/2025 17:26:23.7033	9,720854669570919E+000	-2,1690065E-003
30/08/2025 17:26:24.7033	9,589567329978934E+000	-2,0735073E-003
30/08/2025 17:26:25.7033	9,481658159065233E+000	-2,2263059E-003
30/08/2025 17:26:26.7033	9,361173492622370E+000	-2,1881063E-003
30/08/2025 17:26:27.7033	9,250937246704098E+000	-2,2454057E-003
30/08/2025 17:26:28.7033	9,122971249198912E+000	-2,0735073E-003
30/08/2025 17:26:29.7033	9,007765978431692E+000	-2,1881063E-003
30/08/2025 17:26:30.7033	8,898242356300329E+000	-2,1690065E-003
30/08/2025 17:26:31.7033	8,777032018470749E+000	-2,1881063E-003
30/08/2025 17:26:32.7033	8,664846124458307E+000	-2,1308069E-003
30/08/2025 17:26:33.7033	8,553618122863753E+000	-2,0735073E-003
30/08/2025 17:26:34.7033	8,445250167655928E+000	-2,1308069E-003
30/08/2025 17:26:35.7033	8,351705511093140E+000	-2,1308069E-003
30/08/2025 17:26:36.7033	8,233616265487655E+000	-2,1690065E-003
30/08/2025 17:26:37.7033	8,121968196678161E+000	-2,0735073E-003
30/08/2025 17:26:38.7033	8,010736717700951E+000	-2,1308069E-003
30/08/2025 17:26:39.7033	7,902065472793566E+000	-2,1881063E-003
30/08/2025 17:26:40.7033	7,811956269836401E+000	-2,1117069E-003
30/08/2025 17:26:41.7033	7,705816071414915E+000	-2,1690065E-003
30/08/2025 17:26:42.7033	7,599993099308008E+000	-2,1308069E-003
30/08/2025 17:26:43.7033	7,493799492454528E+000	-2,1881063E-003
30/08/2025 17:26:44.7033	7,393017154312105E+000	-2,1499067E-003
30/08/2025 17:26:45.7033	7,305276189804061E+000	-2,1308069E-003
30/08/2025 17:26:46.7033	7,205380556106576E+000	-2,2263059E-003
30/08/2025 17:26:47.7033	7,107381196308125E+000	-2,2263059E-003
30/08/2025 17:26:48.7033	7,008127799797052E+000	-2,2072061E-003
30/08/2025 17:26:49.7033	6,919687389373763E+000	-2,1308069E-003
30/08/2025 17:26:50.7033	6,835540066051479E+000	-2,0926071E-003
30/08/2025 17:26:51.7033	6,741493077373491E+000	-2,2454057E-003
30/08/2025 17:26:52.7033	6,641496034240703E+000	-2,1690065E-003
30/08/2025 17:26:53.7033	6,543480695247652E+000	-2,0926071E-003
30/08/2025 17:26:54.7033	6,461761279773711E+000	-2,0735073E-003
30/08/2025 17:26:55.7033	6,382221766662589E+000	-2,2263059E-003
30/08/2025 17:26:56.7033	6,295389312267289E+000	-2,0926071E-003
30/08/2025 17:26:57.7033	6,208869109439846E+000	-2,0735073E-003
30/08/2025 17:26:58.7033	6,115844387054437E+000	-2,1499067E-003
30/08/2025 17:26:59.7033	6,039857822990417E+000	-2,1308069E-003
30/08/2025 17:27:00.7033	5,958195764350883E+000	-2,1117069E-003
30/08/2025 17:27:01.7033	5,870035342693313E+000	-2,1117069E-003
30/08/2025 17:27:02.7033	5,783058557224273E+000	-2,0926071E-003
30/08/2025 17:27:03.7033	5,700506795215603E+000	-2,2263059E-003
30/08/2025 17:27:04.7033	5,636000542163849E+000	-2,0735073E-003
30/08/2025 17:27:05.7033	5,552675073719016E+000	-2,0926071E-003
30/08/2025 17:27:06.7033	5,466725800704955E+000	-2,1308069E-003
30/08/2025 17:27:07.7033	5,382351989936822E+000	-2,0735073E-003
30/08/2025 17:27:08.7033	5,299463852405545E+000	-2,1308069E-003
30/08/2025 17:27:09.7033	5,239802038192735E+000	-2,2072061E-003
30/08/2025 17:27:10.7033	5,166725236511226E+000	-2,0926071E-003
30/08/2025 17:27:11.7033	5,090217989063262E+000	-2,2072061E-003
