time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
30/08/2025 19:53:28.9325	1,9999814E+005	2,9203176E-001	-3,5698049E-002
30/08/2025 19:53:29.3665	1,5885727E+005	3,0447522E-001	-2,4911543E-002
30/08/2025 19:53:29.8005	1,2618765E+005	3,1258968E-001	-1,8301925E-002
30/08/2025 19:53:30.0945	1,0022640E+005	3,1583816E-001	-1,3285501E-002
30/08/2025 19:53:31.7885	7,9609563E+004	3,1721997E-001	-9,9679604E-003
30/08/2025 19:53:33.4825	6,3233004E+004	3,1799281E-001	-7,6739411E-003
30/08/2025 19:53:34.7565	5,0224539E+004	3,1849429E-001	-6,0331938E-003
30/08/2025 19:53:35.4705	3,9897566E+004	3,1887171E-001	-4,3376284E-003
30/08/2025 19:53:35.9045	3,1686090E+004	3,1936339E-001	-3,1726628E-003
30/08/2025 19:53:36.3385	2,5172580E+004	3,1955403E-001	-1,9502273E-003
30/08/2025 19:53:36.7735	1,9995176E+004	3,1977811E-001	-1,1256036E-003
30/08/2025 19:53:37.2075	1,5884798E+004	3,2002217E-001	-3,6611606E-004
30/08/2025 19:53:37.6415	1,2618766E+004	3,2019338E-001	2,6694214E-004
30/08/2025 19:53:38.0755	1,0020785E+004	3,2039937E-001	8,3509303E-004
30/08/2025 19:53:38.5677	7,9597607E+003	3,2098043E-001	1,1662657E-003
30/08/2025 19:53:39.1493	6,3238188E+003	3,2121798E-001	1,5022798E-003
30/08/2025 19:53:39.6197	5,0216069E+003	3,2157585E-001	2,0832394E-003
30/08/2025 19:53:40.3119	3,9861731E+003	3,2179376E-001	2,0164526E-003
30/08/2025 19:53:40.7790	3,1669595E+003	3,2212925E-001	2,3723338E-003
30/08/2025 19:53:41.2447	2,5158047E+003	3,2270584E-001	2,6918335E-003
30/08/2025 19:53:41.7129	1,9980818E+003	3,2298142E-001	2,8432629E-003
30/08/2025 19:53:42.1799	1,5884750E+003	3,2357493E-001	3,1217437E-003
30/08/2025 19:53:42.6457	1,2604036E+003	3,2386607E-001	3,2842697E-003
30/08/2025 19:53:43.1124	1,0016024E+003	3,2458115E-001	3,3783768E-003
30/08/2025 19:53:43.5797	7,9525409E+002	3,2475930E-001	3,4942382E-003
30/08/2025 19:53:44.0462	6,3181964E+002	3,2543808E-001	3,8431576E-003
30/08/2025 19:53:44.5129	5,0208865E+002	3,2589406E-001	4,0662196E-003
30/08/2025 19:53:44.9805	3,9859698E+002	3,2671475E-001	4,2738384E-003
30/08/2025 19:53:45.4457	3,1672299E+002	3,2733446E-001	4,5837387E-003
30/08/2025 19:53:45.9104	2,5169135E+002	3,2799056E-001	4,7243801E-003
30/08/2025 19:53:46.3790	1,9980818E+002	3,2861730E-001	5,0721979E-003
30/08/2025 19:53:46.8485	1,5862943E+002	3,2920280E-001	5,1879999E-003
30/08/2025 19:53:47.3132	1,2600809E+002	3,3006504E-001	5,5592675E-003
30/08/2025 19:53:47.7805	1,0016024E+002	3,3080256E-001	5,8212867E-003
30/08/2025 19:53:48.2520	7,9516548E+001	3,3182567E-001	6,1979503E-003
30/08/2025 19:53:48.7306	6,3160763E+001	3,3255133E-001	6,4889323E-003
30/08/2025 19:53:49.1969	5,0208866E+001	3,3369806E-001	6,8031675E-003
30/08/2025 19:53:49.6645	3,9859695E+001	3,3456919E-001	7,1588643E-003
