time/s	I/mA	<Ewe/V>	
30/08/2025 21:41:01.6380	8,6140092E-003	-5,5767708E-003
30/08/2025 21:41:01.7380	1,3704944E-002	-5,5676284E-003
30/08/2025 21:41:01.8380	7,3412773E-003	-5,5713719E-003
30/08/2025 21:41:01.9380	9,8867435E-003	-5,5631208E-003
30/08/2025 21:41:02.0380	1,6250411E-002	-5,5665970E-003
30/08/2025 21:41:02.1380	9,2503773E-003	-5,5684689E-003
30/08/2025 21:41:02.2380	7,9776440E-003	-5,5635790E-003
30/08/2025 21:41:02.3380	7,3412773E-003	-5,5660624E-003
30/08/2025 21:41:02.4380	7,9776440E-003	-5,5698440E-003
30/08/2025 21:41:02.5380	-2,9512335E-004	-5,5646491E-003
30/08/2025 21:41:02.6380	4,7958097E-003	-5,5638086E-003
30/08/2025 21:41:02.7380	7,3412773E-003	-5,5671702E-003
30/08/2025 21:41:02.8380	1,3704944E-002	-5,5651455E-003
30/08/2025 21:41:02.9380	1,2432210E-002	-5,5636559E-003
30/08/2025 21:41:03.0380	9,2503773E-003	-5,5707609E-003
30/08/2025 21:41:03.1380	9,2503773E-003	-5,5642286E-003
30/08/2025 21:41:03.2380	9,8867435E-003	-5,5642668E-003
30/08/2025 21:41:03.3380	6,0685435E-003	-5,5680485E-003
30/08/2025 21:41:03.4380	1,4977678E-002	-5,5626626E-003
30/08/2025 21:41:03.5380	6,0685435E-003	-5,5624712E-003
30/08/2025 21:41:03.6380	1,2432210E-002	-5,5698822E-003
30/08/2025 21:41:03.7380	6,7049102E-003	-5,5653751E-003
30/08/2025 21:41:03.8380	1,3068578E-002	-5,5668266E-003
30/08/2025 21:41:03.9380	7,3412773E-003	-5,5652219E-003
30/08/2025 21:41:04.0380	8,6140092E-003	-5,5665206E-003
30/08/2025 21:41:04.1380	2,2503431E-003	-5,5731675E-003
30/08/2025 21:41:04.2380	4,7958097E-003	-5,5662915E-003
30/08/2025 21:41:04.3380	7,9776440E-003	-5,5682017E-003
30/08/2025 21:41:04.4380	6,0685435E-003	-5,5645341E-003
30/08/2025 21:41:04.5380	9,7761012E-004	-5,5627008E-003
30/08/2025 21:41:04.6380	4,1594426E-003	-5,5612493E-003
30/08/2025 21:41:04.7380	9,8867435E-003	-5,5674757E-003
30/08/2025 21:41:04.8380	2,2503431E-003	-5,5698822E-003
30/08/2025 21:41:04.9380	7,9776440E-003	-5,5640759E-003
30/08/2025 21:41:05.0380	7,3412773E-003	-5,5688131E-003
30/08/2025 21:41:05.1380	6,0685435E-003	-5,5650692E-003
30/08/2025 21:41:05.2380	4,1594426E-003	-5,5667115E-003
30/08/2025 21:41:05.3380	7,9776440E-003	-5,5688890E-003
30/08/2025 21:41:05.4380	6,7049102E-003	-5,5706464E-003
30/08/2025 21:41:05.5380	1,1795843E-002	-5,5618989E-003
30/08/2025 21:41:05.6380	2,8867100E-003	-5,5655655E-003
30/08/2025 21:41:05.7380	6,0685435E-003	-5,5659474E-003
30/08/2025 21:41:05.8380	8,6140092E-003	-5,5617457E-003
30/08/2025 21:41:05.9380	1,1795843E-002	-5,5636941E-003
30/08/2025 21:41:06.0380	5,4321769E-003	-5,5621658E-003
30/08/2025 21:41:06.1380	4,7958097E-003	-5,5649541E-003
30/08/2025 21:41:06.2380	4,7958097E-003	-5,5694617E-003
30/08/2025 21:41:06.3380	9,8867435E-003	-5,5695004E-003
30/08/2025 21:41:06.4380	2,8867100E-003	-5,5608288E-003
30/08/2025 21:41:06.5380	2,8867100E-003	-5,5632354E-003
30/08/2025 21:41:06.6380	5,4321769E-003	-5,5722510E-003
30/08/2025 21:41:06.7380	4,7958097E-003	-5,5665970E-003
30/08/2025 21:41:06.8380	7,9776440E-003	-5,5656801E-003
30/08/2025 21:41:06.9380	1,1159477E-002	-5,5745426E-003
30/08/2025 21:41:07.0380	7,3412773E-003	-5,5630445E-003
30/08/2025 21:41:07.1380	4,1594426E-003	-5,5696149E-003
30/08/2025 21:41:07.2380	2,2503431E-003	-5,5664442E-003
30/08/2025 21:41:07.3380	6,0685435E-003	-5,5693854E-003
30/08/2025 21:41:07.4380	1,4341311E-002	-5,5659474E-003
30/08/2025 21:41:07.5380	1,8795876E-002	-5,5680866E-003
30/08/2025 21:41:07.6380	6,0685435E-003	-5,5682017E-003
30/08/2025 21:41:07.7380	6,0685435E-003	-5,5658715E-003
30/08/2025 21:41:07.8380	7,3412773E-003	-5,5664442E-003
30/08/2025 21:41:07.9380	3,5230771E-003	-5,5665206E-003
30/08/2025 21:41:08.0380	1,1159477E-002	-5,5669025E-003
30/08/2025 21:41:08.1380	-2,9512335E-004	-5,5707227E-003
30/08/2025 21:41:08.2380	2,2503431E-003	-5,5669788E-003
30/08/2025 21:41:08.3380	4,7958097E-003	-5,5670552E-003
30/08/2025 21:41:08.4380	9,7761012E-004	-5,5717160E-003
30/08/2025 21:41:08.5380	5,4321769E-003	-5,5672848E-003
30/08/2025 21:41:08.6380	1,2432210E-002	-5,5707609E-003
30/08/2025 21:41:08.7380	8,6140092E-003	-5,5715246E-003
30/08/2025 21:41:08.8380	1,3068578E-002	-5,5656037E-003
30/08/2025 21:41:08.9380	6,7049102E-003	-5,5678575E-003
30/08/2025 21:41:09.0380	1,1159477E-002	-5,5727856E-003
30/08/2025 21:41:09.1380	2,2503431E-003	-5,5690035E-003
30/08/2025 21:41:09.2380	6,7049102E-003	-5,5712578E-003
30/08/2025 21:41:09.3380	9,8867435E-003	-5,5711428E-003
30/08/2025 21:41:09.4380	7,3412773E-003	-5,5726329E-003
30/08/2025 21:41:09.5380	9,8867435E-003	-5,5742371E-003
30/08/2025 21:41:09.6380	2,8867100E-003	-5,5742748E-003
30/08/2025 21:41:09.7380	3,5230771E-003	-5,5730147E-003
30/08/2025 21:41:09.8380	3,5230771E-003	-5,5704550E-003
30/08/2025 21:41:09.9380	7,3412773E-003	-5,5709900E-003
