time/s	<I>/mA	Ewe/V	
30/08/2025 23:05:02.8001	2,865318681842391E+002	-2,1881063E-003
30/08/2025 23:05:03.8001	2,137297274291986E+002	-2,1690065E-003
30/08/2025 23:05:04.8001	1,724232373931882E+002	-2,0926071E-003
30/08/2025 23:05:05.8001	1,451289238525389E+002	-2,1117069E-003
30/08/2025 23:05:06.8001	1,250673467605588E+002	-2,1308069E-003
30/08/2025 23:05:07.8001	1,091543683334348E+002	-2,1881063E-003
30/08/2025 23:05:08.8001	9,621204536895743E+001	-2,0926071E-003
30/08/2025 23:05:09.8001	8,541950180511475E+001	-2,0544075E-003
30/08/2025 23:05:10.8001	7,629935354766837E+001	-2,1308069E-003
30/08/2025 23:05:11.8001	6,849077744903559E+001	-2,1499067E-003
30/08/2025 23:05:12.8001	6,170297327117919E+001	-2,1117069E-003
30/08/2025 23:05:13.8001	5,575039795761097E+001	-2,0353077E-003
30/08/2025 23:05:14.8001	5,050450057525632E+001	-2,2454057E-003
30/08/2025 23:05:15.8001	4,361236951341190E+001	-2,1308069E-003
30/08/2025 23:05:16.8001	4,126928271789552E+001	-2,1117069E-003
30/08/2025 23:05:17.8001	3,762626308517454E+001	-2,0735073E-003
30/08/2025 23:05:18.8001	3,437256848220818E+001	-2,1499067E-003
30/08/2025 23:05:19.8001	3,146855799980159E+001	-2,1690065E-003
30/08/2025 23:05:20.8001	2,888235442886352E+001	-2,1499067E-003
30/08/2025 23:05:21.8001	2,656230422248836E+001	-2,0353077E-003
30/08/2025 23:05:22.8001	2,450159477691649E+001	-2,1499067E-003
30/08/2025 23:05:23.8001	2,262963328781126E+001	-2,1308069E-003
30/08/2025 23:05:24.8001	2,096404991531372E+001	-2,1308069E-003
30/08/2025 23:05:25.8001	1,946037231788637E+001	-2,1308069E-003
30/08/2025 23:05:26.8001	1,807853262100218E+001	-2,1308069E-003
30/08/2025 23:05:27.8001	1,685035641326903E+001	-2,0926071E-003
30/08/2025 23:05:28.8001	1,568823664360045E+001	-2,0735073E-003
30/08/2025 23:05:29.8001	1,464701744823456E+001	-2,1690065E-003
30/08/2025 23:05:30.8001	1,367354032268526E+001	-2,1499067E-003
30/08/2025 23:05:31.8001	1,276620231990813E+001	-2,2263059E-003
30/08/2025 23:05:32.8001	1,194180675487518E+001	-2,0735073E-003
30/08/2025 23:05:33.8001	1,113947082176209E+001	-2,1499067E-003
30/08/2025 23:05:34.8001	1,040969835567473E+001	-2,1690065E-003
30/08/2025 23:05:35.8001	9,721400905227654E+000	-2,1499067E-003
30/08/2025 23:05:36.8001	9,070380099487302E+000	-2,2263059E-003
30/08/2025 23:05:37.8001	8,480420730209346E+000	-2,1881063E-003
30/08/2025 23:05:38.8001	7,907795638370501E+000	-2,1117069E-003
30/08/2025 23:05:39.8001	7,394308096408844E+000	-2,1881063E-003
30/08/2025 23:05:40.8001	6,910278520679455E+000	-2,0544075E-003
30/08/2025 23:05:41.8001	6,463824898242933E+000	-2,2454057E-003
30/08/2025 23:05:42.8001	6,058608395195009E+000	-2,1308069E-003
30/08/2025 23:05:43.8001	5,667094872856126E+000	-2,1881063E-003
30/08/2025 23:05:44.8001	5,331563095951076E+000	-2,1881063E-003
30/08/2025 23:05:45.8001	5,018706850337978E+000	-2,1308069E-003
30/08/2025 23:05:46.8001	4,731201344299308E+000	-2,0735073E-003
30/08/2025 23:05:47.8001	4,363647146619300E+000	-2,2263059E-003
30/08/2025 23:05:48.8001	4,192146698951717E+000	-2,1308069E-003
30/08/2025 23:05:49.8001	3,998160508108128E+000	-2,1881063E-003
30/08/2025 23:05:50.8001	3,824097544479358E+000	-2,1690065E-003
30/08/2025 23:05:51.8001	3,671170544385902E+000	-2,1881063E-003
30/08/2025 23:05:52.8001	3,538156217479695E+000	-2,1690065E-003
30/08/2025 23:05:53.8001	3,421238831043240E+000	-2,1308069E-003
30/08/2025 23:05:54.8001	3,330193983316422E+000	-2,2072061E-003
30/08/2025 23:05:55.8001	3,255201652431481E+000	-2,1690065E-003
30/08/2025 23:05:56.8001	3,194803411531446E+000	-2,0162079E-003
