time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
03/09/2025 12:01:19.5125	1,9999814E+005	2,6014110E-001	-2,1414513E-002
03/09/2025 12:01:19.9465	1,5885727E+005	2,7220577E-001	-1,3754550E-002
03/09/2025 12:01:20.3805	1,2618765E+005	2,7934191E-001	-9,0135308E-003
03/09/2025 12:01:20.6745	1,0022640E+005	2,8259447E-001	-5,8765966E-003
03/09/2025 12:01:22.3695	7,9609563E+004	2,8429684E-001	-3,5906357E-003
03/09/2025 12:01:24.0635	6,3233004E+004	2,8504527E-001	-2,7048949E-003
03/09/2025 12:01:25.1975	5,0224539E+004	2,8578192E-001	-1,8541012E-003
03/09/2025 12:01:25.9115	3,9897566E+004	2,8625250E-001	-1,1657275E-003
03/09/2025 12:01:26.3455	3,1686090E+004	2,8667316E-001	-6,1668118E-004
03/09/2025 12:01:26.7795	2,5172580E+004	2,8677294E-001	-1,7733986E-005
03/09/2025 12:01:27.2135	1,9995176E+004	2,8708449E-001	5,0589122E-004
03/09/2025 12:01:27.6475	1,5884798E+004	2,8726009E-001	8,9645060E-004
03/09/2025 12:01:28.0815	1,2618766E+004	2,8767341E-001	1,2841099E-003
03/09/2025 12:01:28.5155	1,0020785E+004	2,8779733E-001	1,5948461E-003
03/09/2025 12:01:29.0067	7,9597607E+003	2,8826189E-001	1,7777074E-003
03/09/2025 12:01:29.5883	6,3238188E+003	2,8854495E-001	2,0164892E-003
03/09/2025 12:01:30.0577	5,0216069E+003	2,8881326E-001	2,2478951E-003
03/09/2025 12:01:30.7489	3,9861731E+003	2,8939942E-001	2,3125755E-003
03/09/2025 12:01:31.2160	3,1669595E+003	2,8966978E-001	2,4857556E-003
03/09/2025 12:01:31.6817	2,5158047E+003	2,8980851E-001	2,5145605E-003
03/09/2025 12:01:32.1509	1,9980818E+003	2,9034710E-001	2,8282332E-003
03/09/2025 12:01:32.6179	1,5884750E+003	2,9087183E-001	2,7557528E-003
03/09/2025 12:01:33.0837	1,2604036E+003	2,9133084E-001	3,1239775E-003
03/09/2025 12:01:33.5504	1,0016024E+003	2,9158127E-001	3,1943284E-003
03/09/2025 12:01:34.0187	7,9525409E+002	2,9225880E-001	3,3573657E-003
03/09/2025 12:01:34.4852	6,3181964E+002	2,9275087E-001	3,4714525E-003
03/09/2025 12:01:34.9509	5,0208865E+002	2,9322085E-001	3,7108932E-003
03/09/2025 12:01:35.4185	3,9859698E+002	2,9369819E-001	3,7547557E-003
03/09/2025 12:01:35.8837	3,1672299E+002	2,9416114E-001	3,9933389E-003
03/09/2025 12:01:36.3484	2,5169135E+002	2,9483464E-001	4,1984380E-003
03/09/2025 12:01:36.8169	1,9980818E+002	2,9537538E-001	4,2916317E-003
03/09/2025 12:01:37.2865	1,5862943E+002	2,9611385E-001	4,5430339E-003
03/09/2025 12:01:37.7512	1,2600809E+002	2,9666540E-001	4,7732289E-003
03/09/2025 12:01:38.2184	1,0016024E+002	2,9732591E-001	4,9410579E-003
03/09/2025 12:01:38.6890	7,9516548E+001	2,9801878E-001	5,3090272E-003
03/09/2025 12:01:39.1676	6,3160763E+001	2,9894593E-001	5,4250481E-003
03/09/2025 12:01:39.6339	5,0208866E+001	2,9957047E-001	5,7935696E-003
03/09/2025 12:01:40.1014	3,9859695E+001	3,0069906E-001	6,2370887E-003
03/09/2025 12:01:40.5472	3,1672298E+001	3,0128202E-001	6,3912608E-003
03/09/2025 12:01:41.0127	2,5136747E+001	3,0235386E-001	6,8060239E-003
03/09/2025 12:01:41.4809	1,9980818E+001	3,0324540E-001	7,0423642E-003
03/09/2025 12:01:41.9249	1,5857577E+001	3,0447891E-001	7,2508864E-003
03/09/2025 12:01:42.4719	1,2600809E+001	3,0546975E-001	7,6009887E-003
03/09/2025 12:01:42.9374	1,0016025E+001	3,0668968E-001	7,7354601E-003
03/09/2025 12:01:43.5122	7,9557004E+000	3,0793694E-001	7,9990942E-003
03/09/2025 12:01:43.8922	6,3105812E+000	3,0877247E-001	8,1745563E-003
03/09/2025 12:01:44.3612	5,0144420E+000	3,0992055E-001	8,5741123E-003
03/09/2025 12:01:44.9346	3,9859698E+000	3,1083250E-001	9,0777176E-003
03/09/2025 12:01:45.6428	3,1655185E+000	3,1188849E-001	9,3298219E-003
03/09/2025 12:01:46.5207	2,5136747E+000	3,1235155E-001	1,0296888E-002
03/09/2025 12:01:47.6137	1,9970603E+000	3,1323534E-001	1,1456541E-002
03/09/2025 12:01:48.9801	1,5846856E+000	3,1421879E-001	1,3118858E-002
03/09/2025 12:01:51.5321	1,2596742E+000	3,1527093E-001	1,5129694E-002
03/09/2025 12:01:53.6712	1,0000639E+000	3,1691507E-001	1,7614609E-002
03/09/2025 12:01:56.3532	7,9443753E-001	3,1847104E-001	2,0636665E-002
03/09/2025 12:01:59.7186	6,3126212E-001	3,2052228E-001	2,3869798E-002
03/09/2025 12:02:03.9483	5,0118679E-001	3,2377660E-001	2,7606333E-002
03/09/2025 12:02:09.2553	3,9867833E-001	3,2714647E-001	3,2446560E-002
03/09/2025 12:02:15.9368	3,1619310E-001	3,3085284E-001	3,7368674E-002
03/09/2025 12:02:24.3375	2,5117347E-001	3,3582658E-001	4,2169098E-002
03/09/2025 12:02:34.8895	1,9980818E-001	3,4233326E-001	4,8016209E-002
03/09/2025 12:02:48.1844	1,5846856E-001	3,4951860E-001	5,5004440E-002
03/09/2025 12:03:04.9095	1,2590654E-001	3,5719544E-001	6,1951376E-002
03/09/2025 12:03:25.9299	1,0013975E-001	3,6642659E-001	6,8156995E-002
03/09/2025 12:03:52.4245	7,9421178E-002	3,7834829E-001	7,5414002E-002
03/09/2025 12:04:25.7644	6,3101739E-002	3,9342961E-001	8,3760835E-002
03/09/2025 12:05:07.7031	5,0154075E-002	4,1144231E-001	8,9632116E-002
03/09/2025 12:06:00.5381	3,9804459E-002	4,3212560E-001	9,0300560E-002
03/09/2025 12:07:07.0993	3,1592205E-002	4,5374137E-001	8,5842475E-002
03/09/2025 12:08:30.7187	2,5144994E-002	4,7182313E-001	7,7420890E-002
03/09/2025 12:10:16.1066	1,9949391E-002	4,8501778E-001	6,6504151E-002
03/09/2025 12:12:28.6565	1,5860692E-002	4,9355972E-001	5,6169603E-002
03/09/2025 12:15:15.8068	1,2576789E-002	4,9889383E-001	4,7406066E-002
03/09/2025 12:18:45.8275	1,0009170E-002	5,0191420E-001	4,0100198E-002
03/09/2025 12:18:46.6635	1,9999814E+005	2,6675928E-001	-2,3732034E-002
03/09/2025 12:18:47.0975	1,5885727E+005	2,7656755E-001	-1,6166883E-002
03/09/2025 12:18:47.5315	1,2618765E+005	2,8164113E-001	-1,0305685E-002
03/09/2025 12:18:47.8255	1,0022640E+005	2,8464872E-001	-6,2126908E-003
03/09/2025 12:18:49.5195	7,9609563E+004	2,8615305E-001	-3,6815130E-003
03/09/2025 12:18:51.2135	6,3233004E+004	2,8708461E-001	-2,4408498E-003
03/09/2025 12:18:52.4875	5,0224539E+004	2,8760639E-001	-1,9909993E-003
03/09/2025 12:18:53.2015	3,9897566E+004	2,8816694E-001	-1,0869767E-003
03/09/2025 12:18:53.6365	3,1686090E+004	2,8859326E-001	-4,6591376E-004
03/09/2025 12:18:54.0705	2,5172580E+004	2,8876761E-001	1,1467047E-004
03/09/2025 12:18:54.5055	1,9995176E+004	2,8893939E-001	5,8576796E-004
03/09/2025 12:18:54.9395	1,5884798E+004	2,8930688E-001	1,0217995E-003
03/09/2025 12:18:55.3745	1,2618766E+004	2,8940284E-001	1,2529609E-003
03/09/2025 12:18:55.8095	1,0020785E+004	2,8967506E-001	1,4855171E-003
03/09/2025 12:18:56.3008	7,9597607E+003	2,9019690E-001	1,7172700E-003
03/09/2025 12:18:56.8823	6,3238188E+003	2,9041550E-001	2,1223440E-003
03/09/2025 12:18:57.3518	5,0216069E+003	2,9072595E-001	2,2282060E-003
03/09/2025 12:18:58.0440	3,9861731E+003	2,9104552E-001	2,3397692E-003
03/09/2025 12:18:58.5110	3,1669595E+003	2,9155371E-001	2,4934954E-003
03/09/2025 12:18:58.9767	2,5158047E+003	2,9179758E-001	2,7271700E-003
03/09/2025 12:18:59.4460	1,9980818E+003	2,9223034E-001	2,8574020E-003
03/09/2025 12:18:59.9130	1,5884750E+003	2,9278591E-001	2,9784371E-003
03/09/2025 12:19:00.3787	1,2604036E+003	2,9320359E-001	3,0186325E-003
03/09/2025 12:19:00.8455	1,0016024E+003	2,9359305E-001	3,3284968E-003
03/09/2025 12:19:01.3127	7,9525409E+002	2,9412484E-001	3,3410527E-003
03/09/2025 12:19:01.7792	6,3181964E+002	2,9453748E-001	3,5490945E-003
03/09/2025 12:19:02.2460	5,0208865E+002	2,9500109E-001	3,7191464E-003
03/09/2025 12:19:02.7135	3,9859698E+002	2,9561102E-001	3,8667829E-003
03/09/2025 12:19:03.1787	3,1672299E+002	2,9600656E-001	3,9437590E-003
03/09/2025 12:19:03.6434	2,5169135E+002	2,9663241E-001	4,2801416E-003
03/09/2025 12:19:04.1120	1,9980818E+002	2,9727954E-001	4,3597068E-003
03/09/2025 12:19:04.5815	1,5862943E+002	2,9789412E-001	4,4951695E-003
03/09/2025 12:19:05.0462	1,2600809E+002	2,9867858E-001	4,7461353E-003
03/09/2025 12:19:05.5135	1,0016024E+002	2,9924360E-001	5,0985469E-003
03/09/2025 12:19:05.9840	7,9516548E+001	2,9981333E-001	5,2305679E-003
03/09/2025 12:19:06.4626	6,3160763E+001	3,0084985E-001	5,6489273E-003
03/09/2025 12:19:06.9290	5,0208866E+001	3,0165094E-001	5,8765817E-003
03/09/2025 12:19:07.3965	3,9859695E+001	3,0255350E-001	6,0269209E-003
03/09/2025 12:19:07.8422	3,1672298E+001	3,0326280E-001	6,2554642E-003
03/09/2025 12:19:08.3077	2,5136747E+001	3,0424446E-001	6,9015333E-003
03/09/2025 12:19:08.7760	1,9980818E+001	3,0521834E-001	7,0774141E-003
03/09/2025 12:19:09.2200	1,5857577E+001	3,0637288E-001	7,4902559E-003
03/09/2025 12:19:09.7669	1,2600809E+001	3,0745280E-001	7,6118801E-003
03/09/2025 12:19:10.2325	1,0016025E+001	3,0858499E-001	7,8412211E-003
03/09/2025 12:19:10.8073	7,9557004E+000	3,0976331E-001	7,9138689E-003
03/09/2025 12:19:11.1872	6,3105812E+000	3,1075910E-001	8,5529257E-003
03/09/2025 12:19:11.6562	5,0144420E+000	3,1179443E-001	8,4062228E-003
03/09/2025 12:19:12.2297	3,9859698E+000	3,1274337E-001	8,9305872E-003
03/09/2025 12:19:12.9378	3,1655185E+000	3,1313536E-001	9,3684196E-003
03/09/2025 12:19:13.8158	2,5136747E+000	3,1455567E-001	1,0357105E-002
03/09/2025 12:19:14.9087	1,9970603E+000	3,1509492E-001	1,1578404E-002
03/09/2025 12:19:16.2751	1,5846856E+000	3,1626517E-001	1,3023807E-002
03/09/2025 12:19:18.8269	1,2596742E+000	3,1727129E-001	1,5125129E-002
03/09/2025 12:19:20.9652	1,0000639E+000	3,1858969E-001	1,7476548E-002
03/09/2025 12:19:23.6472	7,9443753E-001	3,2073802E-001	2,0462384E-002
03/09/2025 12:19:27.0130	6,3126212E-001	3,2295248E-001	2,4229173E-002
03/09/2025 12:19:31.2422	5,0118679E-001	3,2526478E-001	2,7939007E-002
03/09/2025 12:19:36.5498	3,9867833E-001	3,2877555E-001	3,1929180E-002
03/09/2025 12:19:43.2302	3,1619310E-001	3,3339933E-001	3,7046038E-002
03/09/2025 12:19:51.6319	2,5117347E-001	3,3816591E-001	4,2983677E-002
03/09/2025 12:20:02.1828	1,9980818E-001	3,4349674E-001	4,8616566E-002
03/09/2025 12:20:15.4776	1,5846856E-001	3,5064340E-001	5,4382257E-002
03/09/2025 12:20:32.2026	1,2590654E-001	3,5976052E-001	6,1193552E-002
03/09/2025 12:20:53.2220	1,0013975E-001	3,6943170E-001	6,8675481E-002
03/09/2025 12:21:19.7167	7,9421178E-002	3,8004744E-001	7,6738179E-002
03/09/2025 12:21:53.0564	6,3101739E-002	3,9462677E-001	8,4430560E-002
