time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
02/09/2025 16:42:31.1975	1,9999814E+005	2,5552094E-001	-1,9603277E-002
02/09/2025 16:42:31.6315	1,5885727E+005	2,6761585E-001	-1,1184171E-002
02/09/2025 16:42:32.0665	1,2618765E+005	2,7464145E-001	-7,9323929E-003
02/09/2025 16:42:32.5015	1,0022640E+005	2,7807152E-001	-4,6165371E-003
02/09/2025 16:42:34.1955	7,9609563E+004	2,7977630E-001	-2,6273446E-003
02/09/2025 16:42:35.8895	6,3233004E+004	2,8066871E-001	-1,8234465E-003
02/09/2025 16:42:37.1635	5,0224539E+004	2,8117368E-001	-1,3541416E-003
02/09/2025 16:42:37.8775	3,9897566E+004	2,8172526E-001	-5,7485432E-004
02/09/2025 16:42:38.3115	3,1686090E+004	2,8212816E-001	-3,0258988E-004
02/09/2025 16:42:38.7455	2,5172580E+004	2,8225219E-001	2,6508863E-004
02/09/2025 16:42:39.1805	1,9995176E+004	2,8255135E-001	7,5139228E-004
02/09/2025 16:42:39.6145	1,5884798E+004	2,8281996E-001	1,2100640E-003
02/09/2025 16:42:40.0495	1,2618766E+004	2,8306612E-001	1,3871978E-003
02/09/2025 16:42:40.4845	1,0020785E+004	2,8328848E-001	1,6733240E-003
02/09/2025 16:42:40.9758	7,9597607E+003	2,8353804E-001	1,8924347E-003
02/09/2025 16:42:41.5573	6,3238188E+003	2,8390250E-001	2,2224502E-003
02/09/2025 16:42:42.0267	5,0216069E+003	2,8427646E-001	2,2880107E-003
02/09/2025 16:42:42.7179	3,9861731E+003	2,8465644E-001	2,5841768E-003
02/09/2025 16:42:43.1849	3,1669595E+003	2,8498992E-001	2,5709635E-003
02/09/2025 16:42:43.6507	2,5158047E+003	2,8530949E-001	2,8334991E-003
02/09/2025 16:42:44.1190	1,9980818E+003	2,8590229E-001	2,9588419E-003
02/09/2025 16:42:44.5859	1,5884750E+003	2,8641012E-001	3,1385825E-003
02/09/2025 16:42:45.0517	1,2604036E+003	2,8681752E-001	3,3855329E-003
02/09/2025 16:42:45.5184	1,0016024E+003	2,8731388E-001	3,4275015E-003
02/09/2025 16:42:45.9857	7,9525409E+002	2,8779662E-001	3,4122909E-003
02/09/2025 16:42:46.4522	6,3181964E+002	2,8837115E-001	3,7256253E-003
02/09/2025 16:42:46.9189	5,0208865E+002	2,8895572E-001	3,8060350E-003
02/09/2025 16:42:47.3864	3,9859698E+002	2,8956166E-001	3,9514201E-003
02/09/2025 16:42:47.8516	3,1672299E+002	2,9004052E-001	4,2026900E-003
02/09/2025 16:42:48.3164	2,5169135E+002	2,9057837E-001	4,2618951E-003
02/09/2025 16:42:48.7850	1,9980818E+002	2,9117271E-001	4,4617406E-003
02/09/2025 16:42:49.2545	1,5862943E+002	2,9192171E-001	4,6985173E-003
02/09/2025 16:42:49.7192	1,2600809E+002	2,9255617E-001	4,8836893E-003
02/09/2025 16:42:50.1865	1,0016024E+002	2,9331833E-001	5,0511202E-003
02/09/2025 16:42:50.6570	7,9516548E+001	2,9387465E-001	5,4940586E-003
02/09/2025 16:42:51.1356	6,3160763E+001	2,9471681E-001	5,6523173E-003
02/09/2025 16:42:51.6019	5,0208866E+001	2,9546741E-001	5,9482655E-003
02/09/2025 16:42:52.0695	3,9859695E+001	2,9629770E-001	6,2149856E-003
02/09/2025 16:42:52.5152	3,1672298E+001	2,9724947E-001	6,4814761E-003
02/09/2025 16:42:52.9806	2,5136747E+001	2,9816508E-001	6,8768244E-003
02/09/2025 16:42:53.4489	1,9980818E+001	2,9922658E-001	7,2842133E-003
02/09/2025 16:42:53.8929	1,5857577E+001	3,0013001E-001	7,7368715E-003
02/09/2025 16:42:54.4399	1,2600809E+001	3,0115694E-001	8,2629817E-003
02/09/2025 16:42:54.9054	1,0016025E+001	3,0248773E-001	8,7769255E-003
02/09/2025 16:42:55.4802	7,9557004E+000	3,0345649E-001	9,2984838E-003
02/09/2025 16:42:55.8602	6,3105812E+000	3,0460006E-001	9,9745244E-003
02/09/2025 16:42:56.3282	5,0144420E+000	3,0604172E-001	1,0571667E-002
02/09/2025 16:42:56.9017	3,9859698E+000	3,0763015E-001	1,1515254E-002
02/09/2025 16:42:57.6097	3,1655185E+000	3,0876595E-001	1,2317217E-002
02/09/2025 16:42:58.4877	2,5136747E+000	3,1050909E-001	1,3380443E-002
02/09/2025 16:42:59.5807	1,9970603E+000	3,1190801E-001	1,4111238E-002
02/09/2025 16:43:00.9471	1,5846856E+000	3,1357992E-001	1,5681904E-002
02/09/2025 16:43:03.4989	1,2596742E+000	3,1517014E-001	1,7209472E-002
02/09/2025 16:43:05.6372	1,0000639E+000	3,1718609E-001	1,9278413E-002
02/09/2025 16:43:08.3191	7,9443753E-001	3,1950250E-001	2,2037148E-002
02/09/2025 16:43:11.6846	6,3126212E-001	3,2108480E-001	2,4849629E-002
02/09/2025 16:43:15.9143	5,0118679E-001	3,2348582E-001	2,8269848E-002
02/09/2025 16:43:21.2213	3,9867833E-001	3,2619622E-001	3,2591179E-002
02/09/2025 16:43:27.9026	3,1619310E-001	3,3046860E-001	3,8024537E-002
02/09/2025 16:43:36.3033	2,5117347E-001	3,3428684E-001	4,3546628E-002
02/09/2025 16:43:46.8554	1,9980818E-001	3,3917534E-001	4,9337588E-002
02/09/2025 16:44:00.1503	1,5846856E-001	3,4589124E-001	5,6264117E-002
02/09/2025 16:44:16.8753	1,2590654E-001	3,5332942E-001	6,4860612E-002
02/09/2025 16:44:37.8956	1,0013975E-001	3,6094135E-001	7,4172080E-002
02/09/2025 16:45:04.3913	7,9421178E-002	3,6969885E-001	8,3507597E-002
02/09/2025 16:45:37.7312	6,3101739E-002	3,8043457E-001	9,3830086E-002
02/09/2025 16:46:19.6709	5,0154075E-002	3,9382058E-001	1,0513387E-001
02/09/2025 16:47:12.5049	3,9804459E-002	4,0773484E-001	1,1926210E-001
02/09/2025 16:48:19.0649	3,1592205E-002	4,2223090E-001	1,3371539E-001
02/09/2025 16:49:42.6833	2,5144994E-002	4,3950677E-001	1,4800148E-001
02/09/2025 16:51:28.0723	1,9949391E-002	4,6122018E-001	1,6480546E-001
02/09/2025 16:53:40.6213	1,5860692E-002	4,8576045E-001	1,8491821E-001
02/09/2025 16:56:27.7706	1,2576789E-002	5,1206267E-001	2,0681034E-001
02/09/2025 16:59:57.7923	1,0009170E-002	5,4117543E-001	2,2803812E-001
