time/s	I/mA	<Ewe/V>	
02/09/2025 18:08:21.2490	4,1594426E-003	-3,5613319E-003
02/09/2025 18:08:21.3490	2,8867100E-003	-3,5592157E-003
02/09/2025 18:08:21.4490	9,2503773E-003	-3,5542115E-003
02/09/2025 18:08:21.5490	1,3704944E-002	-3,5531037E-003
02/09/2025 18:08:21.6490	5,4321769E-003	-3,5477176E-003
02/09/2025 18:08:21.7490	5,4321769E-003	-3,5509262E-003
02/09/2025 18:08:21.8490	4,1594426E-003	-3,5466861E-003
02/09/2025 18:08:21.9490	7,9776440E-003	-3,5453874E-003
02/09/2025 18:08:22.0490	8,6140092E-003	-3,5461895E-003
02/09/2025 18:08:22.1490	6,7049102E-003	-3,5448144E-003
02/09/2025 18:08:22.2490	6,7049102E-003	-3,5439739E-003
02/09/2025 18:08:22.3490	5,4321769E-003	-3,5444323E-003
02/09/2025 18:08:22.4490	6,7049102E-003	-3,5446996E-003
02/09/2025 18:08:22.5490	1,3704944E-002	-3,5471064E-003
02/09/2025 18:08:22.6490	9,2503773E-003	-3,5504296E-003
02/09/2025 18:08:22.7490	9,2503773E-003	-3,5463425E-003
02/09/2025 18:08:22.8490	9,2503773E-003	-3,5472210E-003
02/09/2025 18:08:22.9490	7,9776440E-003	-3,5505062E-003
02/09/2025 18:08:23.0490	8,6140092E-003	-3,5489781E-003
02/09/2025 18:08:23.1490	9,7761012E-004	-3,5511171E-003
02/09/2025 18:08:23.2490	4,7958097E-003	-3,5504296E-003
02/09/2025 18:08:23.3490	1,1795843E-002	-3,5463425E-003
02/09/2025 18:08:23.4490	5,4321769E-003	-3,5488254E-003
02/09/2025 18:08:23.5490	7,3412773E-003	-3,5471825E-003
02/09/2025 18:08:23.6490	1,0523110E-002	-3,5516520E-003
02/09/2025 18:08:23.7490	1,1159477E-002	-3,5497039E-003
02/09/2025 18:08:23.8490	1,3704944E-002	-3,5499714E-003
02/09/2025 18:08:23.9490	1,1159477E-002	-3,5481758E-003
02/09/2025 18:08:24.0490	1,4341311E-002	-3,5505062E-003
02/09/2025 18:08:24.1490	9,2503773E-003	-3,5500096E-003
02/09/2025 18:08:24.2490	9,8867435E-003	-3,5478321E-003
02/09/2025 18:08:24.3490	7,9776440E-003	-3,5502005E-003
02/09/2025 18:08:24.4490	9,8867435E-003	-3,5510410E-003
02/09/2025 18:08:24.5490	1,0523110E-002	-3,5510792E-003
02/09/2025 18:08:24.6490	1,3704944E-002	-3,5500478E-003
02/09/2025 18:08:24.7490	1,1159477E-002	-3,5505826E-003
02/09/2025 18:08:24.8490	8,6140092E-003	-3,5504296E-003
02/09/2025 18:08:24.9490	3,5230771E-003	-3,5537914E-003
02/09/2025 18:08:25.0490	3,5230771E-003	-3,5477558E-003
02/09/2025 18:08:25.1490	7,3412773E-003	-3,5410326E-003
02/09/2025 18:08:25.2490	7,9776440E-003	-3,5468773E-003
02/09/2025 18:08:25.3490	8,6140092E-003	-3,5528743E-003
02/09/2025 18:08:25.4490	6,7049102E-003	-3,5464186E-003
02/09/2025 18:08:25.5490	9,8867435E-003	-3,5477940E-003
02/09/2025 18:08:25.6490	6,0685435E-003	-3,5424079E-003
02/09/2025 18:08:25.7490	7,3412773E-003	-3,5470300E-003
02/09/2025 18:08:25.8490	1,3704944E-002	-3,5455020E-003
02/09/2025 18:08:25.9490	1,3068578E-002	-3,5524925E-003
02/09/2025 18:08:26.0490	1,3704944E-002	-3,5471064E-003
02/09/2025 18:08:26.1490	1,1795843E-002	-3,5480615E-003
02/09/2025 18:08:26.2490	8,6140092E-003	-3,5513465E-003
02/09/2025 18:08:26.3490	4,7958097E-003	-3,5427897E-003
02/09/2025 18:08:26.4490	1,1159477E-002	-3,5505062E-003
02/09/2025 18:08:26.5490	7,9776440E-003	-3,5520343E-003
02/09/2025 18:08:26.6490	4,7958097E-003	-3,5454254E-003
02/09/2025 18:08:26.7490	2,8867100E-003	-3,5504296E-003
02/09/2025 18:08:26.8490	1,1795843E-002	-3,5530273E-003
02/09/2025 18:08:26.9490	2,8867100E-003	-3,5484433E-003
02/09/2025 18:08:27.0490	4,7958097E-003	-3,5517667E-003
02/09/2025 18:08:27.1490	9,8867435E-003	-3,5525307E-003
02/09/2025 18:08:27.2490	4,7958097E-003	-3,5492454E-003
02/09/2025 18:08:27.3490	2,8867100E-003	-3,5548226E-003
02/09/2025 18:08:27.4490	4,1594426E-003	-3,5518813E-003
02/09/2025 18:08:27.5490	9,8867435E-003	-3,5489781E-003
02/09/2025 18:08:27.6490	6,7049102E-003	-3,5538294E-003
02/09/2025 18:08:27.7490	7,9776440E-003	-3,5495511E-003
02/09/2025 18:08:27.8490	1,3704944E-002	-3,5456165E-003
02/09/2025 18:08:27.9490	5,4321769E-003	-3,5492072E-003
02/09/2025 18:08:28.0490	8,6140092E-003	-3,5521486E-003
02/09/2025 18:08:28.1490	1,6139771E-003	-3,5519195E-003
02/09/2025 18:08:28.2490	1,5614044E-002	-3,5504296E-003
02/09/2025 18:08:28.3490	1,2432210E-002	-3,5544024E-003
02/09/2025 18:08:28.4490	7,9776440E-003	-3,5477558E-003
02/09/2025 18:08:28.5490	7,9776440E-003	-3,5514992E-003
02/09/2025 18:08:28.6490	8,6140092E-003	-3,5507353E-003
02/09/2025 18:08:28.7490	5,4321769E-003	-3,5496657E-003
02/09/2025 18:08:28.8490	1,3704944E-002	-3,5490929E-003
02/09/2025 18:08:28.9490	4,7958097E-003	-3,5574585E-003
02/09/2025 18:08:29.0490	8,6140092E-003	-3,5481758E-003
