time/s	<I>/mA	Ewe/V	
02/09/2025 19:30:04.1405	4,996452824458338E+002	-2,0345915E-003
02/09/2025 19:30:05.1405	3,773777985168454E+002	-2,0536913E-003
02/09/2025 19:30:06.1405	3,184472541198729E+002	-2,1300905E-003
02/09/2025 19:30:07.1405	2,812757221435545E+002	-2,1873901E-003
02/09/2025 19:30:08.1405	2,534773143310545E+002	-2,2255897E-003
02/09/2025 19:30:09.1405	2,315413550415042E+002	-2,1300905E-003
02/09/2025 19:30:10.1405	2,137720171844483E+002	-2,0727911E-003
02/09/2025 19:30:11.1405	1,987698790557861E+002	-2,1491903E-003
02/09/2025 19:30:12.1405	1,855599859161375E+002	-2,0345915E-003
02/09/2025 19:30:13.1405	1,739185236114499E+002	-2,1873901E-003
02/09/2025 19:30:14.1405	1,635330308654784E+002	-2,1300905E-003
02/09/2025 19:30:15.1405	1,543818809570312E+002	-2,0727911E-003
02/09/2025 19:30:16.1405	1,458472592987060E+002	-2,1491903E-003
02/09/2025 19:30:17.1405	1,380348397674557E+002	-2,0727911E-003
02/09/2025 19:30:18.1405	1,309067809249877E+002	-2,2828891E-003
02/09/2025 19:30:19.1405	1,243521578414917E+002	-2,2255897E-003
02/09/2025 19:30:20.1405	1,181764874176024E+002	-2,2064899E-003
02/09/2025 19:30:21.1405	1,124500180786133E+002	-2,0154917E-003
02/09/2025 19:30:22.1405	1,071042137832642E+002	-2,1491903E-003
02/09/2025 19:30:23.1405	1,022124494735717E+002	-2,0918909E-003
02/09/2025 19:30:24.1405	9,742497326049801E+001	-2,1873901E-003
02/09/2025 19:30:25.1405	9,289894043579102E+001	-2,1300905E-003
02/09/2025 19:30:26.1405	8,877540436553954E+001	-2,1682901E-003
02/09/2025 19:30:27.1405	8,485462122802733E+001	-2,0536913E-003
02/09/2025 19:30:28.1405	8,106355182495111E+001	-2,0918909E-003
02/09/2025 19:30:29.1405	7,744091198425281E+001	-2,0727911E-003
02/09/2025 19:30:30.1405	7,401197651519772E+001	-2,1491903E-003
02/09/2025 19:30:31.1405	7,087405223388669E+001	-2,0345915E-003
02/09/2025 19:30:32.1405	6,775787443847651E+001	-2,2064899E-003
02/09/2025 19:30:33.1405	6,476796856460567E+001	-2,1300905E-003
02/09/2025 19:30:34.1405	6,200018144760134E+001	-2,1491903E-003
02/09/2025 19:30:35.1405	5,931219668502797E+001	-2,1109907E-003
02/09/2025 19:30:36.1405	5,667010301818834E+001	-2,0727911E-003
02/09/2025 19:30:37.1405	5,419004848403929E+001	-2,1682901E-003
02/09/2025 19:30:38.1405	5,182981786346437E+001	-2,1682901E-003
02/09/2025 19:30:39.1405	4,958112093887326E+001	-2,1491903E-003
02/09/2025 19:30:40.1405	4,735007025222779E+001	-2,0918909E-003
02/09/2025 19:30:41.1405	4,401307527233462E+001	-2,0727911E-003
02/09/2025 19:30:42.1405	4,276454108428953E+001	-2,0918909E-003
02/09/2025 19:30:43.1405	4,082165562667845E+001	-2,1109907E-003
02/09/2025 19:30:44.1405	3,891129997634886E+001	-2,2255897E-003
02/09/2025 19:30:45.1405	3,708928538818361E+001	-2,0536913E-003
02/09/2025 19:30:46.1405	3,538109906768796E+001	-2,0536913E-003
02/09/2025 19:30:47.1405	3,372949314117426E+001	-2,1300905E-003
02/09/2025 19:30:48.1405	3,210541523551941E+001	-2,1109907E-003
02/09/2025 19:30:49.1405	3,051948506126394E+001	-2,0918909E-003
02/09/2025 19:30:50.1405	2,908804970817562E+001	-2,0918909E-003
02/09/2025 19:30:51.1405	2,762460589485164E+001	-2,1300905E-003
02/09/2025 19:30:52.1405	2,619234221687316E+001	-2,0536913E-003
02/09/2025 19:30:53.1405	2,487353450012205E+001	-2,1873901E-003
02/09/2025 19:30:54.1405	2,361918627738952E+001	-2,1109907E-003
02/09/2025 19:30:55.1405	2,236676024894714E+001	-2,1300905E-003
02/09/2025 19:30:56.1405	2,113910410194399E+001	-2,2064899E-003
02/09/2025 19:30:57.1405	1,995954289474486E+001	-2,2255897E-003
02/09/2025 19:30:58.1405	1,890759506568907E+001	-2,0918909E-003
02/09/2025 19:30:59.1405	1,781334832115172E+001	-2,0918909E-003
02/09/2025 19:31:00.1405	1,675292357749939E+001	-2,1682901E-003
02/09/2025 19:31:01.1405	1,576519850425717E+001	-2,1682901E-003
02/09/2025 19:31:02.1405	1,481734328689572E+001	-2,1682901E-003
02/09/2025 19:31:03.1405	1,387225304088591E+001	-2,1109907E-003
02/09/2025 19:31:04.1405	1,297503933696747E+001	-2,1109907E-003
02/09/2025 19:31:05.1405	1,211566167335510E+001	-2,1491903E-003
02/09/2025 19:31:06.1405	1,132599792346954E+001	-2,0918909E-003
02/09/2025 19:31:07.1405	1,049696752567290E+001	-2,2255897E-003
02/09/2025 19:31:08.1405	9,704149918556197E+000	-2,1491903E-003
02/09/2025 19:31:09.1405	9,022445766830437E+000	-2,0536913E-003
02/09/2025 19:31:10.1405	8,322595502853389E+000	-2,1491903E-003
02/09/2025 19:31:11.1405	7,627874153995506E+000	-2,0918909E-003
02/09/2025 19:31:12.1405	6,962683505344359E+000	-2,1300905E-003
