time/s	freq/Hz	Re(Z)/Ohm	-Im(Z)/Ohm	
03/09/2025 08:17:44.2055	1,9999814E+005	2,5950956E-001	-1,8377338E-002
03/09/2025 08:17:44.6405	1,5885727E+005	2,7128944E-001	-1,1774965E-002
03/09/2025 08:17:45.0745	1,2618765E+005	2,7896744E-001	-7,2305365E-003
03/09/2025 08:17:45.3685	1,0022640E+005	2,8231889E-001	-4,4151936E-003
03/09/2025 08:17:47.0625	7,9609563E+004	2,8389770E-001	-2,5095693E-003
03/09/2025 08:17:48.7565	6,3233004E+004	2,8477523E-001	-1,7848657E-003
03/09/2025 08:17:50.0305	5,0224539E+004	2,8539839E-001	-1,3235749E-003
03/09/2025 08:17:50.7445	3,9897566E+004	2,8595713E-001	-6,8939512E-004
03/09/2025 08:17:51.1785	3,1686090E+004	2,8617287E-001	-1,5478586E-004
03/09/2025 08:17:51.6125	2,5172580E+004	2,8654319E-001	2,8038252E-004
03/09/2025 08:17:52.0465	1,9995176E+004	2,8659293E-001	5,9229444E-004
03/09/2025 08:17:52.4805	1,5884798E+004	2,8690842E-001	9,7476505E-004
03/09/2025 08:17:52.9145	1,2618766E+004	2,8705505E-001	1,2652106E-003
03/09/2025 08:17:53.3485	1,0020785E+004	2,8740007E-001	1,6830618E-003
03/09/2025 08:17:53.8398	7,9597607E+003	2,8767160E-001	1,7695477E-003
03/09/2025 08:17:54.4213	6,3238188E+003	2,8798848E-001	2,0130682E-003
03/09/2025 08:17:54.8907	5,0216069E+003	2,8825927E-001	2,2355416E-003
03/09/2025 08:17:55.5819	3,9861731E+003	2,8870812E-001	2,3432774E-003
03/09/2025 08:17:56.0490	3,1669595E+003	2,8915831E-001	2,6024529E-003
03/09/2025 08:17:56.5147	2,5158047E+003	2,8955385E-001	2,7296739E-003
03/09/2025 08:17:56.9829	1,9980818E+003	2,8986752E-001	2,8162093E-003
03/09/2025 08:17:57.4500	1,5884750E+003	2,9030627E-001	2,9000677E-003
03/09/2025 08:17:57.9157	1,2604036E+003	2,9077521E-001	2,9459232E-003
03/09/2025 08:17:58.3834	1,0016024E+003	2,9120016E-001	3,1806016E-003
