time/s	I/mA	<Ewe/V>	
03/09/2025 14:14:00.8467	1,0523378E-001	-2,4603305E-002
03/09/2025 14:14:00.9467	1,0523378E-001	-2,4217421E-002
03/09/2025 14:14:01.0467	8,6142294E-002	-2,3243602E-002
03/09/2025 14:14:01.1467	1,4341676E-001	-2,2465630E-002
03/09/2025 14:14:01.2467	5,4323155E-002	-2,1755803E-002
03/09/2025 14:14:01.3467	1,1796144E-001	-2,1075124E-002
03/09/2025 14:14:01.4467	2,0705505E-001	-2,0512827E-002
03/09/2025 14:14:01.5467	7,9778478E-002	-1,9946707E-002
03/09/2025 14:14:01.6467	1,6887209E-001	-1,9421272E-002
03/09/2025 14:14:01.7467	1,6250826E-001	-1,8955236E-002
03/09/2025 14:14:01.8467	1,0523378E-001	-1,8476252E-002
03/09/2025 14:14:01.9467	9,8869957E-002	-1,8044442E-002
03/09/2025 14:14:02.0467	1,6250826E-001	-1,7644338E-002
03/09/2025 14:14:02.1467	8,6142294E-002	-1,7243357E-002
03/09/2025 14:14:02.2467	8,6142294E-002	-1,6875802E-002
03/09/2025 14:14:02.3467	1,3705294E-001	-1,6513439E-002
03/09/2025 14:14:02.4467	1,0523378E-001	-1,6173042E-002
03/09/2025 14:14:02.5467	1,3068911E-001	-1,5843341E-002
03/09/2025 14:14:02.6467	1,8159975E-001	-1,5522770E-002
03/09/2025 14:14:02.7467	1,3705294E-001	-1,5226722E-002
03/09/2025 14:14:02.8467	1,5614443E-001	-1,4931783E-002
03/09/2025 14:14:02.9467	1,0523378E-001	-1,4642306E-002
03/09/2025 14:14:03.0467	1,0523378E-001	-1,4373303E-002
03/09/2025 14:14:03.1467	1,3705294E-001	-1,4096853E-002
03/09/2025 14:14:03.2467	1,0523378E-001	-1,3844239E-002
03/09/2025 14:14:03.3467	9,2506140E-002	-1,3587537E-002
03/09/2025 14:14:03.4467	1,4341676E-001	-1,3344206E-002
03/09/2025 14:14:03.5467	8,6142294E-002	-1,3121731E-002
03/09/2025 14:14:03.6467	1,3068911E-001	-1,2889591E-002
03/09/2025 14:14:03.7467	1,8159975E-001	-1,2665971E-002
03/09/2025 14:14:03.8467	7,9778478E-002	-1,2456600E-002
03/09/2025 14:14:03.9467	1,2432528E-001	-1,2233246E-002
03/09/2025 14:14:04.0467	9,2506140E-002	-1,2032162E-002
03/09/2025 14:14:04.1467	1,0523378E-001	-1,1846322E-002
03/09/2025 14:14:04.2467	1,3705294E-001	-1,1645888E-002
03/09/2025 14:14:04.3467	1,6250826E-001	-1,1465279E-002
03/09/2025 14:14:04.4467	9,8869957E-002	-1,1293534E-002
03/09/2025 14:14:04.5467	1,1796144E-001	-1,1113690E-002
03/09/2025 14:14:04.6467	1,3705294E-001	-1,0950463E-002
03/09/2025 14:14:04.7467	1,5614443E-001	-1,0785326E-002
03/09/2025 14:14:04.8467	1,1796144E-001	-1,0617287E-002
03/09/2025 14:14:04.9467	1,1796144E-001	-1,0457268E-002
