time/s	<I>/mA	Ewe/V	
03/09/2025 15:04:01.9511	1,375001378184190E+002	-2,0918909E-003
03/09/2025 15:04:02.9511	8,693098194885238E+001	-2,0536913E-003
03/09/2025 15:04:03.9511	5,858305835494991E+001	-2,1682901E-003
03/09/2025 15:04:04.9511	3,838107832212597E+001	-2,2446895E-003
03/09/2025 15:04:05.9511	2,864121182517999E+001	-2,0345915E-003
03/09/2025 15:04:06.9511	2,038065091896055E+001	-2,2255897E-003
03/09/2025 15:04:07.9511	1,456156984329220E+001	-2,1491903E-003
03/09/2025 15:04:08.9511	1,051155349178313E+001	-2,1873901E-003
03/09/2025 15:04:09.9511	7,751595070266720E+000	-2,1300905E-003
03/09/2025 15:04:10.9511	5,982598668575285E+000	-2,1300905E-003
03/09/2025 15:04:11.9511	4,937607599735259E+000	-2,1491903E-003
03/09/2025 15:04:12.9511	4,291037134334246E+000	-2,2064899E-003
03/09/2025 15:04:13.9511	4,158385296058654E+000	-2,0727911E-003
03/09/2025 15:04:14.9511	4,152136412906643E+000	-2,0918909E-003
03/09/2025 15:04:15.9511	4,238189572620385E+000	-2,0727911E-003
03/09/2025 15:04:16.9511	4,373298729228971E+000	-2,0536913E-003
03/09/2025 15:04:17.9511	4,522840849208833E+000	-2,1300905E-003
03/09/2025 15:04:18.9511	4,682370724678037E+000	-2,1109907E-003
03/09/2025 15:04:19.9511	4,835847893810268E+000	-2,0918909E-003
03/09/2025 15:04:20.9511	4,971059444999682E+000	-2,0918909E-003
03/09/2025 15:04:21.9511	5,115013312244400E+000	-2,1873901E-003
03/09/2025 15:04:22.9511	5,239861363506307E+000	-2,1300905E-003
03/09/2025 15:04:23.9511	5,347472545814512E+000	-2,1109907E-003
03/09/2025 15:04:24.9511	5,446299026489257E+000	-2,1109907E-003
03/09/2025 15:04:25.9511	5,523372934341424E+000	-2,0727911E-003
03/09/2025 15:04:26.9511	5,584190527629843E+000	-2,1300905E-003
03/09/2025 15:04:27.9511	5,642318341541284E+000	-2,1109907E-003
03/09/2025 15:04:28.9511	5,691015268707273E+000	-2,1109907E-003
03/09/2025 15:04:29.9511	5,714406186771384E+000	-2,1300905E-003
03/09/2025 15:04:30.9511	5,731186222553248E+000	-2,1300905E-003
03/09/2025 15:04:31.9511	5,750489118957518E+000	-2,0345915E-003
03/09/2025 15:04:32.9511	5,758545899868009E+000	-2,1109907E-003
03/09/2025 15:04:33.9511	5,752573019409180E+000	-2,0918909E-003
03/09/2025 15:04:34.9511	5,749605726146690E+000	-2,0918909E-003
03/09/2025 15:04:35.9511	5,741166941642760E+000	-2,2064899E-003
03/09/2025 15:04:36.9511	5,729266509819027E+000	-2,1491903E-003
03/09/2025 15:04:37.9511	5,723467530250531E+000	-2,1109907E-003
03/09/2025 15:04:38.9511	5,721995347023010E+000	-2,0536913E-003
03/09/2025 15:04:39.9511	5,717994122219082E+000	-2,0918909E-003
03/09/2025 15:04:40.9511	5,711792578029623E+000	-2,0727911E-003
03/09/2025 15:04:41.9511	5,698030806159963E+000	-2,0918909E-003
03/09/2025 15:04:42.9511	5,678970172119136E+000	-2,1491903E-003
03/09/2025 15:04:43.9511	5,677592776584623E+000	-2,0536913E-003
03/09/2025 15:04:44.9511	5,670295066165920E+000	-2,1300905E-003
03/09/2025 15:04:45.9511	5,664818895435317E+000	-2,1491903E-003
03/09/2025 15:04:46.9511	5,658370994091033E+000	-2,1300905E-003
03/09/2025 15:04:47.9511	5,651502167701718E+000	-2,1682901E-003
03/09/2025 15:04:48.9511	5,642819298458100E+000	-2,1491903E-003
03/09/2025 15:04:49.9511	5,636271450328827E+000	-2,0345915E-003
03/09/2025 15:04:50.9511	5,632985750007620E+000	-2,1491903E-003
03/09/2025 15:04:51.9511	5,629167839241020E+000	-2,0918909E-003
03/09/2025 15:04:52.9511	5,631029505062102E+000	-2,1682901E-003
03/09/2025 15:04:53.9511	5,633945615100856E+000	-2,0727911E-003
03/09/2025 15:04:54.9511	5,624184775543199E+000	-1,9963919E-003
03/09/2025 15:04:55.9511	5,612152555561066E+000	-2,0536913E-003
03/09/2025 15:04:56.9511	5,616106616973873E+000	-2,1682901E-003
03/09/2025 15:04:57.9511	5,609172989940632E+000	-2,1300905E-003
03/09/2025 15:04:58.9511	5,597168384933468E+000	-2,0727911E-003
03/09/2025 15:04:59.9511	5,595339343738551E+000	-2,1682901E-003
03/09/2025 15:05:00.9511	5,595604500579832E+000	-2,1109907E-003
03/09/2025 15:05:01.9511	5,592716255950926E+000	-2,1300905E-003
03/09/2025 15:05:02.9511	5,588014651393888E+000	-2,1682901E-003
03/09/2025 15:05:03.9511	5,585135957050323E+000	-2,1682901E-003
03/09/2025 15:05:04.9511	5,584795442676544E+000	-2,2255897E-003
03/09/2025 15:05:05.9511	5,577127651596058E+000	-2,1682901E-003
03/09/2025 15:05:06.9511	5,579493552684781E+000	-2,0727911E-003
03/09/2025 15:05:07.9511	5,575144633769980E+000	-2,2255897E-003
03/09/2025 15:05:08.9511	5,566187073230736E+000	-2,1300905E-003
03/09/2025 15:05:09.9511	5,571419795417782E+000	-2,1300905E-003
03/09/2025 15:05:10.9511	5,566952536582946E+000	-2,1109907E-003
03/09/2025 15:05:11.9511	5,558319616985319E+000	-2,1682901E-003
03/09/2025 15:05:12.9511	5,551943401241296E+000	-2,1491903E-003
03/09/2025 15:05:13.9511	5,543894698524475E+000	-2,0727911E-003
03/09/2025 15:05:14.9511	5,540210424709315E+000	-2,1109907E-003
03/09/2025 15:05:15.9511	5,540703305912017E+000	-2,0918909E-003
03/09/2025 15:05:16.9511	5,531974778079986E+000	-2,1109907E-003
03/09/2025 15:05:17.9511	5,524419133090973E+000	-2,1109907E-003
03/09/2025 15:05:18.9511	5,530719694232936E+000	-2,1109907E-003
03/09/2025 15:05:19.9511	5,528889365196221E+000	-1,9772921E-003
